"Search interest in Nadal v. Djokovic during the French Open quarter-finals, indexed to 100",,
Time in GMT,Search interest in Nadal,Search interest in Djokovic
6/3/2015 14:43:00,19.65,39.58
6/3/2015 14:44:00,26.04,42.93
6/3/2015 14:45:00,25.59,41.54
6/3/2015 14:46:00,21.55,43.85
6/3/2015 14:47:00,21.10,41.33
6/3/2015 14:48:00,24.17,42.16
6/3/2015 14:49:00,20.35,39.76
6/3/2015 14:50:00,19.98,38.88
6/3/2015 14:51:00,20.01,35.72
6/3/2015 14:52:00,24.55,41.60
6/3/2015 14:53:00,21.79,38.36
6/3/2015 14:54:00,26.11,42.04
6/3/2015 14:55:00,23.74,40.20
6/3/2015 14:56:00,22.25,38.59
6/3/2015 14:57:00,20.75,31.53
6/3/2015 14:58:00,23.54,35.58
6/3/2015 14:59:00,26.49,37.51
6/3/2015 15:00:00,21.38,35.97
6/3/2015 15:01:00,22.34,34.74
6/3/2015 15:02:00,20.17,37.67
6/3/2015 15:03:00,16.61,35.91
6/3/2015 15:04:00,20.63,35.97
6/3/2015 15:05:00,22.84,39.02
6/3/2015 15:06:00,21.50,37.77
6/3/2015 15:07:00,25.84,42.13
6/3/2015 15:08:00,22.82,32.65
6/3/2015 15:09:00,18.33,30.67
6/3/2015 15:10:00,21.44,34.41
6/3/2015 15:11:00,19.97,36.15
6/3/2015 15:12:00,21.22,35.35
6/3/2015 15:13:00,19.28,35.11
6/3/2015 15:14:00,25.28,41.40
6/3/2015 15:15:00,23.13,36.46
6/3/2015 15:16:00,23.91,41.06
6/3/2015 15:17:00,20.86,36.88
6/3/2015 15:18:00,19.23,35.49
6/3/2015 15:19:00,21.00,42.15
6/3/2015 15:20:00,21.22,41.54
6/3/2015 15:21:00,24.85,43.41
6/3/2015 15:22:00,21.34,39.29
6/3/2015 15:23:00,22.57,36.17
6/3/2015 15:24:00,27.08,40.11
6/3/2015 15:25:00,25.46,39.30
6/3/2015 15:26:00,19.99,39.08
6/3/2015 15:27:00,18.25,38.59
6/3/2015 15:28:00,16.76,35.87
6/3/2015 15:29:00,20.94,42.01
6/3/2015 15:30:00,25.21,40.63
6/3/2015 15:31:00,24.31,40.81
6/3/2015 15:32:00,26.18,39.62
6/3/2015 15:33:00,20.93,38.37
6/3/2015 15:34:00,29.74,48.84
6/3/2015 15:35:00,25.22,49.67
6/3/2015 15:36:00,30.32,47.32
6/3/2015 15:37:00,26.41,40.38
6/3/2015 15:38:00,28.07,41.79
6/3/2015 15:39:00,22.05,35.00
6/3/2015 15:40:00,45.34,57.84
6/3/2015 15:41:00,31.92,52.09
6/3/2015 15:42:00,25.98,44.23
6/3/2015 15:43:00,29.86,53.49
6/3/2015 15:44:00,34.56,62.84
6/3/2015 15:45:00,34.00,58.06
6/3/2015 15:46:00,27.01,51.37
6/3/2015 15:47:00,30.87,45.75
6/3/2015 15:48:00,34.72,53.23
6/3/2015 15:49:00,33.43,59.43
6/3/2015 15:50:00,39.69,59.32
6/3/2015 15:51:00,37.13,54.53
6/3/2015 15:52:00,31.87,51.87
6/3/2015 15:53:00,30.90,47.58
6/3/2015 15:54:00,33.12,47.29
6/3/2015 15:55:00,39.89,58.49
6/3/2015 15:56:00,31.74,48.07
6/3/2015 15:57:00,38.69,54.87
6/3/2015 15:58:00,38.24,53.79
6/3/2015 15:59:00,37.01,56.47
6/3/2015 16:00:00,42.16,64.13
6/3/2015 16:01:00,47.61,61.42
6/3/2015 16:02:00,33.63,48.02
6/3/2015 16:03:00,39.61,67.34
6/3/2015 16:04:00,50.21,65.52
6/3/2015 16:05:00,43.45,67.85
6/3/2015 16:06:00,35.22,62.75
6/3/2015 16:07:00,36.35,56.38
6/3/2015 16:08:00,38.69,51.94
6/3/2015 16:09:00,41.04,55.84
6/3/2015 16:10:00,43.24,68.64
6/3/2015 16:11:00,43.25,69.11
6/3/2015 16:12:00,38.77,68.04
6/3/2015 16:13:00,45.49,65.90
6/3/2015 16:14:00,75.39,100.00
6/3/2015 16:15:00,76.80,95.86
6/3/2015 16:16:00,71.51,79.91
6/3/2015 16:17:00,79.41,79.27
6/3/2015 16:18:00,69.54,75.39
6/3/2015 16:19:00,52.49,70.34
6/3/2015 16:20:00,45.68,63.83
6/3/2015 16:21:00,43.48,63.98
6/3/2015 16:22:00,37.42,60.56
6/3/2015 16:23:00,34.09,55.46
6/3/2015 16:24:00,40.29,55.77
6/3/2015 16:25:00,37.64,61.85
6/3/2015 16:26:00,37.65,57.91
6/3/2015 16:27:00,35.81,55.30
6/3/2015 16:28:00,50.35,52.86
6/3/2015 16:29:00,55.56,52.47
6/3/2015 16:30:00,42.29,52.60
6/3/2015 16:31:00,36.17,52.06
6/3/2015 16:32:00,28.30,46.40
6/3/2015 16:33:00,27.73,47.56
6/3/2015 16:34:00,27.83,42.46
6/3/2015 16:35:00,25.51,42.01
6/3/2015 16:36:00,26.12,42.49
6/3/2015 16:37:00,21.19,39.93
6/3/2015 16:38:00,22.75,41.23
6/3/2015 16:39:00,20.79,38.70
6/3/2015 16:40:00,22.33,39.25
6/3/2015 16:41:00,19.35,35.46
6/3/2015 16:42:00,20.47,36.33
6/3/2015 16:43:00,17.25,35.72
6/3/2015 16:44:00,18.27,34.52
6/3/2015 16:45:00,17.81,32.21
6/3/2015 16:46:00,15.02,30.11
6/3/2015 16:47:00,16.79,32.04
6/3/2015 16:48:00,14.79,29.73
6/3/2015 16:49:00,14.25,29.41
6/3/2015 16:50:00,14.77,24.47
6/3/2015 16:51:00,11.96,43.84
6/3/2015 16:52:00,29.83,59.66
