"Indexed search interest in all players and managers in the Bundesliga 2017-18. Data from the beginning of the season in August 2017, to April 9 2018",,,
Player,Team,Position,Index
Matija Nastasic,FC Schalke 04,Defence,2
Thilo Kehrer,FC Schalke 04,Defence,5
Daniel Koseler,FC Schalke 04,Defence,0
Rashid Abdulrahman,FC Schalke 04,Defence,0
Weston McKennie,FC Schalke 04,Midfield,1
Max Meyer,FC Schalke 04,Midfield,11
Leon Goretzka,FC Schalke 04,Midfield,48
Nabil Bentaleb,FC Schalke 04,Midfield,5
Yevhen Konoplyanka,FC Schalke 04,Midfield,3
Maurice Multhaup,FC Schalke 04,Midfield,0
Daniel Caligiuri,FC Schalke 04,Midfield,4
Guido Burgstaller,FC Schalke 04,Midfield,7
Alessandro Schöpf,FC Schalke 04,Midfield,5
Amine Harit,FC Schalke 04,Midfield,9
Sven Kohler,FC Schalke 04,Midfield,0
Serkan Göcer,FC Schalke 04,Midfield,0
Hendrik Lohmar,FC Schalke 04,Midfield,0
Franco Di Santo,FC Schalke 04,Forward,3
Cedric Teuchert,FC Schalke 04,Forward,3
Bernard Tekpetey,FC Schalke 04,Forward,1
Breel Embolo,FC Schalke 04,Forward,7
Felix Schröter,FC Schalke 04,Forward,0
Gerald Asamoah,FC Schalke 04,Forward,3
Domenico Tedesco,FC Schalke 04,Manager,8
René Adler,FSV Mainz 05,Goal keeper,7
Florian Müller,FSV Mainz 05,Goal keeper,4
Robin Zentner,FSV Mainz 05,Goal keeper,2
Giulio Donati,FSV Mainz 05,Defence,2
Leon Balogun,FSV Mainz 05,Defence,1
Abdou Diallo,FSV Mainz 05,Defence,0
Marin Šverko,FSV Mainz 05,Defence,0
Stefan Bell,FSV Mainz 05,Defence,1
Daniel Brosinski,FSV Mainz 05,Defence,1
Niko Bungert,FSV Mainz 05,Defence,0
Alexander Hack,FSV Mainz 05,Defence,1
Nigel De Jong,FSV Mainz 05,Midfield,4
Danny Latza,FSV Mainz 05,Midfield,2
Robin Quaison,FSV Mainz 05,Midfield,1
Levin Öztunali,FSV Mainz 05,Midfield,2
Alexandru Maxim,FSV Mainz 05,Midfield,1
Suat Serdar,FSV Mainz 05,Midfield,1
Jean-Philippe Gbamin,FSV Mainz 05,Midfield,1
Gerrit Holtmann,FSV Mainz 05,Midfield,1
Yoshinori Muto,FSV Mainz 05,Forward,2
Emil Berggreen,FSV Mainz 05,Forward,1
Kenan Kodro,FSV Mainz 05,Forward,1
Anthony Ujah,FSV Mainz 05,Forward,3
Karim Onisiwo,FSV Mainz 05,Forward,0
Pablo De Blasis,FSV Mainz 05,Forward,1
Sandro Schwarz,FSV Mainz 05,Manager,2
Christian Mathenia,Hamburger SV,Goal keeper,2
Julian Pollersbeck,Hamburger SV,Goal keeper,1
Andreas Hirzel,Hamburger SV,Goal keeper,0
Tom Mickel,Hamburger SV,Goal keeper,0
Dennis Diekmeier,Hamburger SV,Defence,8
Rick Van Drongelen,Hamburger SV,Defence,2
Mergim Mavraj,Hamburger SV,Defence,2
Douglas Santos,Hamburger SV,Defence,1
Kyriakos Papadopoulos,Hamburger SV,Defence,12
Bjarne Thoelke,Hamburger SV,Defence,0
Gotoku Sakai,Hamburger SV,Defence,4
Gideon Jung,Hamburger SV,Defence,2
Young-Jae Seo,Hamburger SV,Defence,0
Jonas Behounek,Hamburger SV,Defence,0
Stephan Ambrosius,Hamburger SV,Defence,0
Josha Vagnoman,Hamburger SV,Defence,0
Lewis Holtby,Hamburger SV,Midfield,5
Walace Souza Silva,Hamburger SV,Midfield,3
Aaron Hunt,Hamburger SV,Midfield,4
Vasilije Janjicic,Hamburger SV,Midfield,2
Filip Kostic,Hamburger SV,Midfield,4
Bakery Jatta,Hamburger SV,Midfield,2
Albin Ekdal,Hamburger SV,Midfield,2
Sejad Salihovic,Hamburger SV,Midfield,5
Mats Köhlert,Hamburger SV,Midfield,0
Nicolai Müller,Hamburger SV,Midfield,11
Matti Steinmann,Hamburger SV,Midfield,0
Mohamed Gouaida,Hamburger SV,Midfield,0
Tatsuya Ito,Hamburger SV,Midfield,1
Bobby Wood,Hamburger SV,Forward,2
André Hahn,Hamburger SV,Forward,3
Gian-Luca Waldschmidt,Hamburger SV,Forward,2
Sven Schipplock,Hamburger SV,Forward,2
Törles Knöll,Hamburger SV,Forward,1
Jann-Fiete Arp,Hamburger SV,Forward,1
Christian Titz,Hamburger SV,Manager,3
Michael Esser,Hannover 96,Goal keeper,1
Philipp Tschauner,Hannover 96,Goal keeper,3
Waldemar Anton,Hannover 96,Defence,2
Miiko Albornoz,Hannover 96,Defence,1
Salif Sané,Hannover 96,Defence,3
Oliver Sorg,Hannover 96,Defence,1
Felipe Trevizan Martins,Hannover 96,Defence,1
Timo Hübers,Hannover 96,Defence,0
Matthias Ostrzolek,Hannover 96,Defence,1
Florian Hübner,Hannover 96,Defence,1
Julian Korb,Hannover 96,Defence,1
Iver Fossum,Hannover 96,Midfield,1
Marvin Bakalorz,Hannover 96,Midfield,2
Felix Klaus,Hannover 96,Midfield,2
Noah Joel Sarenren Bazee,Hannover 96,Midfield,1
Mike Steven Bähre,Hannover 96,Midfield,0
Pirmin Schwegler,Hannover 96,Midfield,1
Edgar Prib,Hannover 96,Midfield,1
Sebastian Maier,Hannover 96,Midfield,1
Manuel Schmiedebach,Hannover 96,Midfield,1
Niclas Füllkrug,Hannover 96,Forward,5
Martin Harnik,Hannover 96,Forward,4
Kenan Karaman,Hannover 96,Forward,1
Charlison Benschop,Hannover 96,Forward,1
Ihlas Bebou,Hannover 96,Forward,5
Jonathas Cristian De Jesus,Hannover 96,Forward,4
André Breitenreiter,Hannover 96,Manager,3
Thomas Kraft,Hertha BSC,Goal keeper,1
Rune Jarstein,Hertha BSC,Goal keeper,2
Dennis Smarsch,Hertha BSC,Goal keeper,0
Jonathan Klinsmann,Hertha BSC,Goal keeper,2
Peter Pekarik,Hertha BSC,Defence,1
Karim Rekik,Hertha BSC,Defence,3
Niklas Stark,Hertha BSC,Defence,2
Maximilian Mittelstadt,Hertha BSC,Defence,1
Marvin Plattenhardt,Hertha BSC,Defence,11
Jordan Torunarigha,Hertha BSC,Defence,1
Florian Baak,Hertha BSC,Defence,0
Per Skjelbred,Hertha BSC,Midfield,0
Vladimir Darida,Hertha BSC,Midfield,2
Alexander Esswein,Hertha BSC,Midfield,2
Salomon Kalou,Hertha BSC,Midfield,2
Ondrej Duda,Hertha BSC,Midfield,2
Mathew Leckie,Hertha BSC,Midfield,3
Sinan Kurt,Hertha BSC,Midfield,4
Valentino Lazaro,Hertha BSC,Midfield,2
Mitchell Weiser,Hertha BSC,Midfield,4
Arne Maier,Hertha BSC,Midfield,1
Fabian Lustenberger,Hertha BSC,Midfield,1
Julius Kade,Hertha BSC,Midfield,0
Julian Schieber,Hertha BSC,Forward,3
Vedad Ibisević,Hertha BSC,Forward,4
Davie Selke,Hertha BSC,Forward,10
Pál Dárdai,Hertha BSC,Manager,4
Fabio Coltorti,RB Leipzig,Goal keeper,0
Philipp Köhn,RB Leipzig,Goal keeper,0
Yvon Mvogo,RB Leipzig,Goal keeper,1
Péter Gulácsi,RB Leipzig,Goal keeper,4
Bernardo,RB Leipzig,Defence,18
Willi Orban,RB Leipzig,Defence,7
Dayot Upamecano,RB Leipzig,Defence,4
Ibrahima Konaté,RB Leipzig,Defence,0
Lukas Klostermann,RB Leipzig,Defence,3
Benno Schmitz,RB Leipzig,Defence,0
Marcel Halstenberg,RB Leipzig,Defence,7
Marcel Sabitzer,RB Leipzig,Midfield,9
Naby Keita,RB Leipzig,Midfield,18
Stefan Ilsanker,RB Leipzig,Midfield,2
Dominik Kaiser,RB Leipzig,Midfield,3
Konrad Laimer,RB Leipzig,Midfield,0
Diego Demme,RB Leipzig,Midfield,4
Kevin Kampl,RB Leipzig,Midfield,7
Yussuf Poulsen,RB Leipzig,Forward,7
Emil Forsberg,RB Leipzig,Forward,10
Timo Werner,RB Leipzig,Forward,49
Bruma,RB Leipzig,Forward,6
Ademola Lookman,RB Leipzig,Forward,2
Jean-Kévin Augustin,RB Leipzig,Forward,1
Ralph Hasenhüttl,RB Leipzig,Manager,9
Alexander Schwolow,SC Freiburg,Goal keeper,2
Patric Klandt,SC Freiburg,Goal keeper,0
Rafał Gikiewicz,SC Freiburg,Goal keeper,0
Aleksandar Ignjovski,SC Freiburg,Defence,0
Philipp Lienhart,SC Freiburg,Defence,1
Çağlar Söyüncü,SC Freiburg,Defence,3
Manuel Gulde,SC Freiburg,Defence,1
Pascal Stenzel,SC Freiburg,Defence,1
Lukas Kübler,SC Freiburg,Defence,0
Marc Oliver Kempf,SC Freiburg,Defence,2
Georg Niedermeier,SC Freiburg,Defence,1
Robin Koch,SC Freiburg,Defence,2
Gaëtan Bussmann,SC Freiburg,Defence,0
Christian Günter,SC Freiburg,Defence,1
Amir Abrashi,SC Freiburg,Midfield,1
Mike Frantz,SC Freiburg,Midfield,1
Patrick Kammerbauer,SC Freiburg,Midfield,1
Yoric Ravet,SC Freiburg,Midfield,2
Janik Haberer,SC Freiburg,Midfield,3
Vincent Sierro,SC Freiburg,Midfield,0
Julian Schuster,SC Freiburg,Midfield,1
Nicolas Höfler,SC Freiburg,Midfield,1
Jonas Meffert,SC Freiburg,Midfield,0
Bartosz Kapustka,SC Freiburg,Midfield,2
Caleb Stanko,SC Freiburg,Midfield,0
Florian Kath,SC Freiburg,Midfield,0
Mohamed Dräger,SC Freiburg,Midfield,0
Florian Niederlechner,SC Freiburg,Forward,3
Marco Terrazzino,SC Freiburg,Forward,1
Nils Petersen,SC Freiburg,Forward,11
Karim Guédé,SC Freiburg,Forward,0
Tim Kleindienst,SC Freiburg,Forward,1
Lucas Höler,SC Freiburg,Forward,1
Christian Streich,SC Freiburg,Manager,13
Jirí Pavlenka,Werder Bremen,Goal keeper,1
Michael Zetterer,Werder Bremen,Goal keeper,1
Jaroslav Drobny,Werder Bremen,Goal keeper,1
Luca Plogmann,Werder Bremen,Goal keeper,0
Luca Caldirola,Werder Bremen,Defence,1
Robert Bauer,Werder Bremen,Defence,4
Ludwig Augustinsson,Werder Bremen,Defence,1
Milos Veljkovic,Werder Bremen,Defence,1
Sebastian Langkamp,Werder Bremen,Defence,3
Niklas Moisander,Werder Bremen,Defence,2
Theodor Gebre Selassie,Werder Bremen,Defence,1
Jesper Verlaat,Werder Bremen,Defence,1
Marco Friedl,Werder Bremen,Defence,3
Thomas Delaney,Werder Bremen,Midfield,3
Florian Kainz,Werder Bremen,Midfield,2
Jérôme Gondorf,Werder Bremen,Midfield,1
Milot Rashica,Werder Bremen,Midfield,4
Ole Käuper,Werder Bremen,Midfield,1
Zlatko Junuzovic,Werder Bremen,Midfield,4
Fin Bartels,Werder Bremen,Midfield,3
Maximilian Eggestein,Werder Bremen,Midfield,3
Niklas Schmidt,Werder Bremen,Midfield,1
Philipp Bargfrede,Werder Bremen,Midfield,2
Aron Jóhansson,Werder Bremen,Forward,1
Max Kruse,Werder Bremen,Forward,16
Justin Eilers,Werder Bremen,Forward,3
Yuning Zhang,Werder Bremen,Forward,0
Johannes Eggestein,Werder Bremen,Forward,1
Ishak Belfodil,Werder Bremen,Forward,5
Florian Kohfeldt,Werder Bremen,Manager,4
Oliver Baumann,1899 Hoffenheim,Goal keeper,1
Alexander Stolz,1899 Hoffenheim,Goal keeper,0
Gregor Kobel,1899 Hoffenheim,Goal keeper,0
Pavel Kaderábek,1899 Hoffenheim,Defence,1
Ermin Bičakčić,1899 Hoffenheim,Defence,1
Havard Nordtveit,1899 Hoffenheim,Defence,2
Benjamin Hübner,1899 Hoffenheim,Defence,2
Kevin Vogt,1899 Hoffenheim,Defence,2
Justin Hoogma,1899 Hoffenheim,Defence,0
Kevin Akpoguma,1899 Hoffenheim,Defence,1
Stefan Posch,1899 Hoffenheim,Defence,0
Lukas Rupp,1899 Hoffenheim,Midfield,2
Eugen Polanski,1899 Hoffenheim,Midfield,1
Kerem Demirbay,1899 Hoffenheim,Midfield,8
Florian Grillitsch,1899 Hoffenheim,Midfield,1
Nico Schulz,1899 Hoffenheim,Midfield,1
Steven Zuber,1899 Hoffenheim,Midfield,1
Nadiem Amiri,1899 Hoffenheim,Midfield,9
Robert Žulj,1899 Hoffenheim,Midfield,1
Felix Passlack,1899 Hoffenheim,Midfield,4
Dennis Geiger,1899 Hoffenheim,Midfield,2
Mark Uth,1899 Hoffenheim,Forward,12
David Otto,1899 Hoffenheim,Forward,3
Andrej Kramaric,1899 Hoffenheim,Forward,3
Ádám Szalai,1899 Hoffenheim,Forward,2
Serge Gnabry,1899 Hoffenheim,Forward,12
Meris Skenderović,1899 Hoffenheim,Forward,0
Robin Hack,1899 Hoffenheim,Forward,1
Julian Nagelsmann,1899 Hoffenheim,Manager,25
Jens Grahl,VfB Stuttgart,Goal keeper,0
Ron-Robert Zieler,VfB Stuttgart,Goal keeper,6
Alexander Meyer,VfB Stuttgart,Goal keeper,0
Emiliano Insua,VfB Stuttgart,Defence,2
Dennis Aogo,VfB Stuttgart,Defence,8
Timo Baumgartl,VfB Stuttgart,Defence,2
Benjamin Pavard,VfB Stuttgart,Defence,3
Holger Badstuber,VfB Stuttgart,Defence,10
Andreas Beck,VfB Stuttgart,Defence,4
