Most searched and second most searched Republican candidates leading up to 3rd GOP Debate,,,
"All results based on US search interest, 9/17-10/23/15",,,
1st_LastDebate is the most searched candidate leading up to the 9/16 debate,,,
FIPS Code,1st,2nd,1st_LastDebate
13167,Donald Trump,Ted Cruz,Donald Trump
13171,Ben Carson,Donald Trump,Donald Trump
13173,Donald Trump,No data,Donald Trump
13175,Rand Paul,Donald Trump,Ben Carson
13177,Carly Fiorina,Donald Trump,Donald Trump
13179,Donald Trump,Ben Carson,Donald Trump
13181,Donald Trump,Ben Carson,Donald Trump
13183,Donald Trump,Ben Carson,No data
13185,Donald Trump,Ben Carson,Donald Trump
13187,Donald Trump,Ben Carson,Donald Trump
13189,Carly Fiorina,Donald Trump,Donald Trump
13191,Donald Trump,Jeb Bush,Donald Trump
13195,Ben Carson,Donald Trump,Donald Trump
13197,Donald Trump,Carly Fiorina,Donald Trump
13199,Donald Trump,Ben Carson,Donald Trump
13205,Donald Trump,Ben Carson,Donald Trump
13207,Donald Trump,Carly Fiorina,Donald Trump
13209,Marco Rubio,Donald Trump,No data
13211,Donald Trump,Carly Fiorina,Carly Fiorina
13213,Donald Trump,Ben Carson,Donald Trump
13215,Donald Trump,Ben Carson,Donald Trump
13217,Donald Trump,Mike Huckabee,Donald Trump
13219,Donald Trump,Ben Carson,Donald Trump
13221,Ben Carson,No data,No data
13223,Donald Trump,Ben Carson,Donald Trump
13225,Donald Trump,Ben Carson,Donald Trump
13227,Ben Carson,Donald Trump,Donald Trump
13229,Ben Carson,Donald Trump,Donald Trump
13231,Donald Trump,Marco Rubio,Ben Carson
13233,Donald Trump,Ben Carson,Donald Trump
13235,Donald Trump,Ben Carson,Donald Trump
13237,Donald Trump,Ben Carson,Donald Trump
13241,Donald Trump,John Kasich,Donald Trump
13243,Ben Carson,Marco Rubio,Donald Trump
13245,Donald Trump,Ben Carson,Donald Trump
13247,Donald Trump,Ben Carson,Donald Trump
13249,Donald Trump,No data,No data
13251,Donald Trump,Carly Fiorina,Donald Trump
13253,Ben Carson,No data,Donald Trump
13255,Donald Trump,Ben Carson,Donald Trump
13257,Donald Trump,Ben Carson,Donald Trump
13259,Carly Fiorina,Ben Carson,No data
13261,Donald Trump,Ben Carson,Carly Fiorina
13263,Donald Trump,Marco Rubio,Donald Trump
13267,Donald Trump,Bobby Jindal,Donald Trump
13269,Donald Trump,Ben Carson,Donald Trump
13271,Jeb Bush,Ben Carson,Donald Trump
13273,Donald Trump,No data,No data
13275,Donald Trump,Ben Carson,Donald Trump
13277,Donald Trump,Ben Carson,Donald Trump
13279,Ben Carson,Donald Trump,Donald Trump
13281,Donald Trump,Carly Fiorina,Donald Trump
13283,Donald Trump,Ted Cruz,Donald Trump
13285,Donald Trump,Ben Carson,Donald Trump
13287,Donald Trump,Ben Carson,Donald Trump
13289,Ben Carson,No data,Donald Trump
13291,Donald Trump,Ben Carson,Donald Trump
13293,Donald Trump,Rand Paul,Rand Paul
13295,Ben Carson,Donald Trump,Donald Trump
13297,Mike Huckabee,Carly Fiorina,Donald Trump
13299,Donald Trump,Ben Carson,Donald Trump
13301,Ben Carson,Donald Trump,Ben Carson
13303,Donald Trump,Ben Carson,Donald Trump
13305,Donald Trump,Rand Paul,Donald Trump
13307,Donald Trump,Ben Carson,No data
13309,Donald Trump,Rand Paul,Ben Carson
13311,Donald Trump,Ben Carson,Donald Trump
13313,Donald Trump,Ben Carson,Donald Trump
13315,Ben Carson,Donald Trump,Donald Trump
13317,Ben Carson,Donald Trump,Carly Fiorina
13319,Donald Trump,Ben Carson,Donald Trump
13321,Donald Trump,Rick Santorum,Mike Huckabee
15001,Donald Trump,Ben Carson,Donald Trump
15003,Donald Trump,Ben Carson,Donald Trump
15007,Donald Trump,Ben Carson,Donald Trump
15009,Donald Trump,Carly Fiorina,Donald Trump
16001,Donald Trump,Carly Fiorina,Donald Trump
