district,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH
MN-04,Job,Taxes,Ukraine,Donald Trump,Wages,Joe Biden,Russia,China,Crime,Student loan forgiveness
MN-05,Job,Taxes,Wages,Russia,Ukraine,China,Donald Trump,Crime,Student loan forgiveness,Health Care
MN-06,Job,Taxes,Wages,Russia,Ukraine,Donald Trump,Firearms,China,Joe Biden,Student loan forgiveness
MN-07,Job,Taxes,Wages,Firearms,Ukraine,Russia,Donald Trump,Joe Biden,China,Student loan forgiveness
MN-08,Job,Taxes,Wages,Ukraine,Firearms,Donald Trump,Russia,Joe Biden,China,Unemployment
MO-01,Job,Taxes,Wages,China,Firearms,Ukraine,Donald Trump,Russia,Crime,Health Care
MO-02,Job,Taxes,Ukraine,Russia,Donald Trump,China,Firearms,Wages,Joe Biden,Crime
MO-03,Job,Taxes,Russia,Firearms,Ukraine,Wages,Joe Biden,China,Donald Trump,Crime
MO-04,Job,Taxes,Firearms,Russia,Wages,Ukraine,Donald Trump,Crime,China,Joe Biden
MO-05,Job,Taxes,Wages,China,Firearms,Russia,Ukraine,Unemployment,Donald Trump,Joe Biden
MO-06,Job,Taxes,Firearms,Ukraine,Wages,China,Russia,Donald Trump,Joe Biden,Crime
MO-07,Job,Taxes,Wages,Firearms,Ukraine,Russia,Donald Trump,China,Joe Biden,Crime
MO-08,Job,Taxes,Firearms,Wages,Russia,China,Ukraine,Donald Trump,Gas prices,Joe Biden
MS-01,Job,Taxes,Firearms,Wages,Russia,China,Ukraine,Crime,Joe Biden,Student loan forgiveness
MS-02,Job,Taxes,Wages,Firearms,China,Unemployment,Ukraine,Crime,Russia,Health Care
MS-03,Job,Taxes,Wages,China,Firearms,Ukraine,Russia,Crime,Student loan forgiveness,Donald Trump
MS-04,Job,Taxes,Wages,Firearms,Russia,China,Ukraine,Donald Trump,Crime,Joe Biden
MT-01,Job,Taxes,Firearms,Ukraine,Donald Trump,Russia,Wages,China,Joe Biden,Crime
MT-02,Job,Taxes,Ukraine,Firearms,Russia,Donald Trump,Joe Biden,Wages,The border/immigration,Crime
NC-01,Job,Taxes,Crime,Firearms,China,Wages,Russia,Donald Trump,Ukraine,Unemployment
NC-02,Job,Taxes,China,Wages,Ukraine,Russia,Donald Trump,Firearms,Student loan forgiveness,Joe Biden
NC-03,Job,Taxes,Firearms,Wages,Ukraine,China,Russia,Donald Trump,Joe Biden,Crime
NC-04,Job,Taxes,China,Wages,Firearms,Russia,Ukraine,Donald Trump,Health Care,Crime
NC-05,Job,Taxes,Firearms,Russia,Ukraine,Donald Trump,Wages,China,Joe Biden,Health Care
NC-06,Job,Taxes,Wages,Firearms,China,Russia,Donald Trump,Ukraine,Crime,Joe Biden
NC-07,Job,Taxes,Firearms,Wages,China,Ukraine,Donald Trump,Russia,Crime,Joe Biden
NC-08,Job,Taxes,Firearms,Health Care,Russia,Wages,China,Ukraine,Donald Trump,Joe Biden
NC-09,Job,Taxes,Wages,Donald Trump,Firearms,China,Russia,Ukraine,Crime,Joe Biden
NC-10,Job,Taxes,Health Care,Firearms,China,Wages,Russia,Ukraine,Donald Trump,Joe Biden
NC-11,Job,Taxes,Ukraine,Russia,Donald Trump,Firearms,Joe Biden,China,Wages,Health Care
NC-12,Job,Taxes,Health Care,Russia,Wages,Donald Trump,China,Ukraine,Firearms,Joe Biden
NC-13,Job,Taxes,Firearms,Wages,China,Russia,Donald Trump,Ukraine,Crime,Health Care
NC-14,Job,Taxes,Health Care,China,Firearms,Russia,Wages,Ukraine,Donald Trump,Student loan forgiveness
ND-01,Job,Taxes,Ukraine,Russia,Firearms,Wages,China,The border/immigration,Joe Biden,Donald Trump
NE-01,Job,Taxes,Firearms,Russia,Wages,Ukraine,Donald Trump,Joe Biden,China,Student loan forgiveness
NE-02,Job,Taxes,Ukraine,Russia,Wages,Joe Biden,Firearms,Student loan forgiveness,Donald Trump,Crime
NE-03,Job,Taxes,Firearms,Ukraine,Russia,Joe Biden,Wages,China,Donald Trump,Crime
NH-01,Job,Taxes,Donald Trump,Ukraine,Russia,Firearms,Joe Biden,Wages,China,Crime
NH-02,Job,Taxes,Donald Trump,Ukraine,Firearms,Russia,Joe Biden,China,Wages,Crime
NJ-01,Job,Taxes,Donald Trump,Wages,China,Unemployment,Ukraine,Russia,Joe Biden,Crime
NJ-02,Job,Taxes,Donald Trump,Ukraine,Unemployment,Wages,Russia,Joe Biden,China,Firearms
NJ-03,Job,Taxes,Ukraine,Russia,Donald Trump,Wages,China,Unemployment,Joe Biden,Firearms
NJ-04,Job,Taxes,Donald Trump,Ukraine,Russia,Wages,Joe Biden,China,Firearms,Unemployment
NJ-05,Job,Taxes,Ukraine,Russia,China,Donald Trump,Wages,Joe Biden,Firearms,Crime
NJ-06,Job,Taxes,Russia,China,Ukraine,Wages,Donald Trump,Joe Biden,Unemployment,Firearms
