country,max,2nd,3rd
India,Real Madrid,Barcelona,Atlético Madrid
Ireland,Barcelona,Real Madrid,Leicester City
Iran,Barcelona,Real Madrid,Bayern Munich
Iraq,Real Madrid,Barcelona,Atlético Madrid
Iceland,Barcelona,Real Madrid,Bayern Munich
Israel,Real Madrid,Barcelona,Atlético Madrid
Italy,Juventus,Barcelona,Real Madrid
Jamaica,Real Madrid,Barcelona,Bayern Munich
Jersey,Leicester City,Real Madrid,Barcelona
Jordan,Real Madrid,Barcelona,Atlético Madrid
Japan,Dortmund,Barcelona,Real Madrid
Kazakhstan,Real Madrid,Barcelona,Atlético Madrid
Kenya,Real Madrid,Barcelona,Juventus
Kyrgyzstan,Real Madrid,Barcelona,Atlético Madrid
Cambodia,Real Madrid,Barcelona,Atlético Madrid
Saint Kitts and Nevis,Real Madrid,Barcelona,Leicester City
South Korea,Real Madrid,Barcelona,Atlético Madrid
Kuwait,Real Madrid,Barcelona,Atlético Madrid
Laos,Real Madrid,Barcelona,Bayern Munich
Lebanon,Real Madrid,Barcelona,Bayern Munich
Liberia,Barcelona,Real Madrid,Atlético Madrid
Libya,Real Madrid,Barcelona,Juventus
Saint Lucia,Real Madrid,Barcelona,Atlético Madrid
Liechtenstein,Bayern Munich,Dortmund,Real Madrid
Sri Lanka,Real Madrid,Barcelona,Leicester City
Lesotho,Real Madrid,Barcelona,Juventus
Lithuania,Barcelona,Real Madrid,Bayern Munich
Luxembourg,Bayern Munich,Dortmund,Real Madrid
Latvia,Barcelona,Real Madrid,Bayern Munich
Macau,Real Madrid,Barcelona,Atlético Madrid
Collectivity of Saint Martin,Barcelona,Real Madrid,Juventus
Morocco,Real Madrid,Barcelona,Atlético Madrid
Monaco,Monaco,Dortmund,Juventus
Moldova,Real Madrid,Barcelona,Atlético Madrid
Madagascar,Real Madrid,Barcelona,Bayern Munich
Maldives,Real Madrid,Barcelona,Atlético Madrid
Mexico,Real Madrid,Barcelona,Atlético Madrid
Macedonia (FYROM),Real Madrid,Barcelona,Juventus
Mali,Real Madrid,Barcelona,Bayern Munich
Malta,Juventus,Barcelona,Real Madrid
Myanmar (Burma),Real Madrid,Barcelona,Leicester City
Montenegro,Real Madrid,Barcelona,Juventus
Mongolia,Real Madrid,Barcelona,Atlético Madrid
Northern Mariana Islands,Real Madrid,Barcelona,Atlético Madrid
Mozambique,Real Madrid,Barcelona,Atlético Madrid
Mauritania,Real Madrid,Barcelona,Atlético Madrid
Montserrat,Barcelona,Real Madrid,Juventus
Martinique,Monaco,Barcelona,Real Madrid
Mauritius,Real Madrid,Barcelona,Leicester City
Malawi,Barcelona,Real Madrid,Leicester City
Malaysia,Real Madrid,Barcelona,Atlético Madrid
Mayotte,Real Madrid,Barcelona,Monaco
Namibia,Barcelona,Real Madrid,Bayern Munich
New Caledonia,Real Madrid,Barcelona,Monaco
Niger,Real Madrid,Barcelona,Atlético Madrid
Nigeria,Barcelona,Real Madrid,Bayern Munich
Nicaragua,Real Madrid,Barcelona,Atlético Madrid
Netherlands,Barcelona,Real Madrid,Bayern Munich
Norway,Real Madrid,Barcelona,Bayern Munich
Nepal,Real Madrid,Barcelona,Atlético Madrid
New Zealand,Real Madrid,Barcelona,Leicester City
Oman,Real Madrid,Barcelona,Atlético Madrid
Pakistan,Real Madrid,Barcelona,Atlético Madrid
Panama,Real Madrid,Barcelona,Atlético Madrid
Peru,Real Madrid,Barcelona,Atlético Madrid
Philippines,Barcelona,Real Madrid,Leicester City
Palau,Barcelona,Barcelona,Juventus
Papua New Guinea,Barcelona,Real Madrid,Leicester City
Poland,Bayern Munich,Real Madrid,Barcelona
Puerto Rico,Barcelona,Real Madrid,Atlético Madrid
North Korea,Real Madrid,Barcelona,Juventus
Portugal,Barcelona,Real Madrid,Atlético Madrid
Paraguay,Real Madrid,Barcelona,Atlético Madrid
Palestine,Real Madrid,Barcelona,Bayern Munich
French Polynesia,Barcelona,Real Madrid,Monaco
Qatar,Real Madrid,Barcelona,Atlético Madrid
Reunion,Real Madrid,Monaco,Barcelona
Romania,Barcelona,Real Madrid,Bayern Munich
Russia,Real Madrid,Barcelona,Atlético Madrid
Rwanda,Real Madrid,Barcelona,Atlético Madrid
Saudi Arabia,Real Madrid,Barcelona,Atlético Madrid
Sudan,Real Madrid,Barcelona,Atlético Madrid
Senegal,Real Madrid,Barcelona,Bayern Munich
Singapore,Real Madrid,Barcelona,Bayern Munich
Saint Helena Ascension and Tristan da Cunha,Barcelona,Real Madrid,Juventus
Svalbard and Jan Mayen,Barcelona,Leicester City,Leicester City
Solomon Islands,Barcelona,Real Madrid,Leicester City
Sierra Leone,Barcelona,Real Madrid,Bayern Munich
El Salvador,Real Madrid,Barcelona,Atlético Madrid
San Marino,Juventus,Barcelona,Real Madrid
Somalia,Real Madrid,Barcelona,Bayern Munich
Saint Pierre and Miquelon,Barcelona,Monaco,Dortmund
Serbia,Real Madrid,Barcelona,Juventus
South Sudan,Barcelona,Real Madrid,Bayern Munich
São Tomé and Príncipe,Barcelona,Real Madrid,Bayern Munich
Suriname,Real Madrid,Barcelona,Atlético Madrid
Slovakia,Barcelona,Real Madrid,Juventus
Slovenia,Barcelona,Real Madrid,Bayern Munich
Sweden,Real Madrid,Barcelona,Bayern Munich
Swaziland,Real Madrid,Barcelona,Atlético Madrid
Sint Maarten,Real Madrid,Barcelona,Bayern Munich
Seychelles,Real Madrid,Barcelona,Bayern Munich
Syria,Real Madrid,Barcelona,Bayern Munich
Turks and Caicos Islands,Real Madrid,Barcelona,Atlético Madrid
Chad,Real Madrid,Barcelona,Atlético Madrid
Togo,Real Madrid,Barcelona,Atlético Madrid
Thailand,Leicester City,Real Madrid,Barcelona
Tajikistan,Real Madrid,Barcelona,Atlético Madrid
Turkmenistan,Real Madrid,Barcelona,Atlético Madrid
Timor-Leste,Real Madrid,Barcelona,Atlético Madrid
Tonga,Barcelona,Juventus,Juventus
Trinidad and Tobago,Barcelona,Real Madrid,Bayern Munich
Tunisia,Real Madrid,Barcelona,Atlético Madrid
Turkey,Barcelona,Real Madrid,Bayern Munich
Taiwan,Real Madrid,Barcelona,Bayern Munich
Tanzania,Real Madrid,Barcelona,Atlético Madrid
Uganda,Real Madrid,Barcelona,Bayern Munich
Ukraine,Barcelona,Real Madrid,Bayern Munich
Uruguay,Barcelona,Real Madrid,Atlético Madrid
United States,Real Madrid,Barcelona,Bayern Munich
Uzbekistan,Real Madrid,Barcelona,Atlético Madrid
Saint Vincent and the Grenadines,Real Madrid,Barcelona,Atlético Madrid
Venezuela,Real Madrid,Barcelona,Atlético Madrid
British Virgin Islands,Barcelona,Real Madrid,Leicester City
U.S. Virgin Islands,Real Madrid,Barcelona,Bayern Munich
Vietnam,Real Madrid,Barcelona,Atlético Madrid
Vanuatu,Barcelona,Real Madrid,Atlético Madrid
Samoa,Barcelona,Dortmund,Juventus
Kosovo,Real Madrid,Barcelona,Atlético Madrid
Yemen,Real Madrid,Barcelona,Atlético Madrid
South Africa,Real Madrid,Barcelona,Bayern Munich
Zambia,Barcelona,Real Madrid,Bayern Munich
Zimbabwe,Barcelona,Real Madrid,Atlético Madrid
