County,Most searched NFL team in 2018
"Jefferson County, Washington",Seattle Seahawks
"Chisago County, Minnesota",Minnesota Vikings
"Stokes County, North Carolina",Carolina Panthers
"Cochise County, Arizona",Arizona Cardinals
"Grant County, New Mexico",New England Patriots
"Crawford County, Kansas",Kansas City Chiefs
"Christian County, Missouri",Kansas City Chiefs
"Elko County, Nevada",San Francisco 49ers
"Iosco County, Michigan",Detroit Lions
"Williamson County, Illinois",Los Angeles Rams
"Sanpete County, Utah",Chicago Bears
"Cherokee County, Texas",Dallas Cowboys
"Plymouth County, Iowa",Los Angeles Chargers
"Wabash County, Indiana",Indianapolis Colts
"Park County, Colorado",Philadelphia Eagles
"Warren County, Virginia",Pittsburgh Steelers
"Henry County, Illinois",Chicago Bears
"Coles County, Illinois",Philadelphia Eagles
"McKinley County, New Mexico",Denver Broncos
"Knox County, Illinois",Chicago Bears
"Perry County, Ohio",Cincinnati Bengals
"St. Charles County, Missouri",Arizona Cardinals
"Graves County, Kentucky",Minnesota Vikings
"Boone County, Missouri",Kansas City Chiefs
"Ashe County, North Carolina",Philadelphia Eagles
"Marshall County, Kentucky",Oakland Raiders
"Venango County, Pennsylvania",Pittsburgh Steelers
"Seneca County, Ohio",Cleveland Browns
"Marion County, West Virginia",Pittsburgh Steelers
"Codington County, South Dakota",Minnesota Vikings
"Adair County, Missouri",Kansas City Chiefs
"Jasper County, Indiana",Chicago Bears
"Sharp County, Arkansas",Tennessee Titans
"Plumas County, California",San Francisco 49ers
"St. Landry Parish, Louisiana",New Orleans Saints
"Macoupin County, Illinois",Philadelphia Eagles
"Chesterfield County, South Carolina",Carolina Panthers
"Mohave County, Arizona",Oakland Raiders
"Nacogdoches County, Texas",Dallas Cowboys
"Union County, Arkansas",Pittsburgh Steelers
"Walla Walla County, Washington",Seattle Seahawks
"Jefferson County, Missouri",Arizona Cardinals
"St. Martin Parish, Louisiana",New Orleans Saints
"Fremont County, Wyoming",Indianapolis Colts
"Lincoln County, Missouri",Green Bay Packers
"Transylvania County, North Carolina",New England Patriots
"Effingham County, Illinois",Green Bay Packers
"Gibson County, Tennessee",Tennessee Titans
"Jefferson County, Illinois",Chicago Bears
"Klamath County, Oregon",San Francisco 49ers
"Cattaraugus County, New York",Buffalo Bills
"Habersham County, Georgia",Dallas Cowboys
"Pima County, Arizona",New England Patriots
"Benton County, Oregon",New England Patriots
"Newton County, Missouri",Kansas City Chiefs
"Polk County, Texas",Houston Texans
"Frederick County, Virginia",Washington Redskins
"Franklin County, Missouri",Los Angeles Rams
"Nye County, Nevada",Oakland Raiders
"Tuscola County, Michigan",Detroit Lions
"Salem County, New Jersey",Philadelphia Eagles
"Sullivan County, New York",New York Jets
"Muskingum County, Ohio",Cleveland Browns
"Douglas County, Minnesota",Minnesota Vikings
"Wayne County, New York",Buffalo Bills
"Val Verde County, Texas",Dallas Cowboys
"DeKalb County, Indiana",Cleveland Browns
"Vernon Parish, Louisiana",New Orleans Saints
"St. Clair County, Illinois",Arizona Cardinals
"St. Louis County, Missouri",Arizona Cardinals
"Pasquotank County, North Carolina",Baltimore Ravens
"Pearl River County, Mississippi",New Orleans Saints
"Madera County, California",San Francisco 49ers
"Sauk County, Wisconsin",Green Bay Packers
"St. Croix County, Wisconsin",Green Bay Packers
"Washington County, Vermont",New England Patriots
"Carroll County, Tennessee",Tennessee Titans
"Burleigh County, North Dakota",Minnesota Vikings
"Crawford County, Arkansas",Oakland Raiders
"Pittsylvania County, Virginia",Dallas Cowboys
"San Juan County, New Mexico",Dallas Cowboys
"Jasper County, South Carolina",New England Patriots
"Matanuska-Susitna, Alaska",Seattle Seahawks
"Williams County, North Dakota",Minnesota Vikings
"La Plata County, Colorado",Denver Broncos
"Kenai Peninsula Borough, Alaska",Seattle Seahawks
"Albany County, Wyoming",Philadelphia Eagles
"Moore County, North Carolina",Carolina Panthers
"Franklin County, Vermont",New England Patriots
"Duplin County, North Carolina",New England Patriots
"Cherokee County, South Carolina",Carolina Panthers
"Jefferson County, Ohio",Pittsburgh Steelers
"Camden County, Missouri",Kansas City Chiefs
"St. Francois County, Missouri",Pittsburgh Steelers
"Henderson County, Texas",Dallas Cowboys
"Bradley County, Tennessee",Pittsburgh Steelers
"Pennington County, South Dakota",Denver Broncos
"Macon County, Illinois",Chicago Bears
"Peoria County, Illinois",Chicago Bears
"Lee County, Alabama",Philadelphia Eagles
"Wayne County, North Carolina",Carolina Panthers
"Johnson County, Missouri",Kansas City Chiefs
"Calvert County, Maryland",Washington Redskins
"Kankakee County, Illinois",Chicago Bears
"Tazewell County, Illinois",Chicago Bears
"Sangamon County, Illinois",Chicago Bears
"Morgan County, Indiana",Indianapolis Colts
"Jackson County, Illinois",Philadelphia Eagles
"Cambria County, Pennsylvania",Pittsburgh Steelers
"Randall County, Texas",Dallas Cowboys
"Madison County, Mississippi",New Orleans Saints
"Berkeley County, West Virginia",Washington Redskins
"Lewis and Clark County, Montana",Minnesota Vikings
"Kaufman County, Texas",Dallas Cowboys
"Ozaukee County, Wisconsin",Green Bay Packers
"Lebanon County, Pennsylvania",Philadelphia Eagles
"Bonneville County, Idaho",Philadelphia Eagles
"Franklin County, Pennsylvania",Pittsburgh Steelers
"Cabarrus County, North Carolina",Carolina Panthers
"Eau Claire County, Wisconsin",Green Bay Packers
"Logan County, Oklahoma",Dallas Cowboys
"Richmond County, Georgia",Atlanta Falcons
"Belknap County, New Hampshire",New England Patriots
"Cole County, Missouri",Kansas City Chiefs
"Leelanau County, Michigan",Detroit Lions
"Do–a Ana County, New Mexico",Dallas Cowboys
"Athens County, Ohio",Cleveland Browns
"McCracken County, Kentucky",Pittsburgh Steelers
"Putnam County, New York",New York Giants
"Cache County, Utah",Philadelphia Eagles
"Kosciusko County, Indiana",Chicago Bears
"Ontario County, New York",Buffalo Bills
"Franklin County, Washington",Seattle Seahawks
"Monroe County, Michigan",Detroit Lions
"Cape Girardeau County, Missouri",Pittsburgh Steelers
"Buchanan County, Missouri",Kansas City Chiefs
"Garfield County, Colorado",Denver Broncos
"Lee County, Mississippi",Chicago Bears
"Marshall County, Alabama",Indianapolis Colts
"Cumberland County, Pennsylvania",Philadelphia Eagles
"Roanoke County, Virginia",New England Patriots
"Steuben County, New York",Buffalo Bills
"Madison County, Illinois",New England Patriots
"Lancaster County, Nebraska",New England Patriots
"Cape May County, New Jersey",Philadelphia Eagles
"Lawrence County, Pennsylvania",Pittsburgh Steelers
"Rockingham County, Virginia",Philadelphia Eagles
"Terrebonne Parish, Louisiana",New Orleans Saints
"Lauderdale County, Alabama",Tennessee Titans
"Aiken County, South Carolina",Atlanta Falcons
"Elmore County, Idaho",Seattle Seahawks
"Ashtabula County, Ohio",Cleveland Browns
"Washington County, Utah",Denver Broncos
"Worcester County, Maryland",Baltimore Ravens
"Washington County, Wisconsin",Green Bay Packers
"Rock County, Wisconsin",Green Bay Packers
"Kootenai County, Idaho",Seattle Seahawks
"Cleveland County, North Carolina",Carolina Panthers
"Midland County, Michigan",Detroit Lions
"Clayton County, Georgia",Atlanta Falcons
"Rockwall County, Texas",Dallas Cowboys
"St. Charles Parish, Louisiana",New Orleans Saints
"Sumner County, Tennessee",Tennessee Titans
"Glenn County, California",New York Giants
"Daviess County, Kentucky",New Orleans Saints
"Porter County, Indiana",Chicago Bears
"Madison County, Kentucky",Cincinnati Bengals
"Cameron County, Texas",Dallas Cowboys
"Thurston County, Washington",Seattle Seahawks
"Glynn County, Georgia",New England Patriots
"Comal County, Texas",Dallas Cowboys
"Scott County, Iowa",Chicago Bears
"Cecil County, Maryland",Philadelphia Eagles
"Luzerne County, Pennsylvania",Philadelphia Eagles
"Johnson County, Iowa",Minnesota Vikings
"St. Louis County, Minnesota",Minnesota Vikings
"Livingston Parish, Louisiana",New Orleans Saints
"Johnson County, Texas",Dallas Cowboys
"Delaware County, Ohio",Cleveland Browns
"Caddo Parish, Louisiana",New Orleans Saints
"Schuylkill County, Pennsylvania",Philadelphia Eagles
"Bernalillo County, New Mexico",Dallas Cowboys
"Burke County, North Carolina",Carolina Panthers
"Vanderburgh County, Indiana",Indianapolis Colts
"Chesterfield County, Virginia",Washington Redskins
"Butler County, Pennsylvania",Pittsburgh Steelers
"Ulster County, New York",New York Giants
"Webb County, Texas",Dallas Cowboys
"Grayson County, Texas",Dallas Cowboys
"Mesa County, Colorado",Denver Broncos
"Craighead County, Arkansas",Carolina Panthers
"Yamhill County, Oregon",Philadelphia Eagles
"Harrison County, Mississippi",New Orleans Saints
"Sarasota County, Florida",New England Patriots
"Northampton County, Pennsylvania",Philadelphia Eagles
"Shasta County, California",San Francisco 49ers
"Placer County, California",San Francisco 49ers
"Greene County, Missouri",Kansas City Chiefs
"Yakima County, Washington",Seattle Seahawks
"Baldwin County, Alabama",New Orleans Saints
"La Crosse County, Wisconsin",Green Bay Packers
"Anoka County, Minnesota",Minnesota Vikings
"Fayette County, Georgia",Atlanta Falcons
"Parker County, Texas",Dallas Cowboys
"Minnehaha County, South Dakota",Minnesota Vikings
"Saratoga County, New York",New York Giants
"Yolo County, California",Oakland Raiders
"St. Johns County, Florida",Jacksonville Jaguars
"Jefferson Parish, Louisiana",New Orleans Saints
"Erie County, Pennsylvania",Pittsburgh Steelers
"Outagamie County, Wisconsin",Green Bay Packers
"Beaver County, Pennsylvania",Pittsburgh Steelers
"Gaston County, North Carolina",Carolina Panthers
"Randolph County, North Carolina",Carolina Panthers
"Black Hawk County, Iowa",Minnesota Vikings
"Benton County, Washington",Seattle Seahawks
"Washington County, Arkansas",Dallas Cowboys
"Story County, Iowa",Minnesota Vikings
"Kitsap County, Washington",Seattle Seahawks
"Niagara County, New York",Buffalo Bills
"Okaloosa County, Florida",New England Patriots
"York County, South Carolina",Carolina Panthers
"Columbia County, Georgia",Atlanta Falcons
"Smith County, Texas",Dallas Cowboys
"Mahoning County, Ohio",Cleveland Browns
"Utah County, Utah",Philadelphia Eagles
"Hidalgo County, Texas",Dallas Cowboys
"Ector County, Texas",Dallas Cowboys
"Escambia County, Florida",New Orleans Saints
"Chester County, Pennsylvania",Philadelphia Eagles
"Winnebago County, Wisconsin",Green Bay Packers
"El Paso County, Texas",Dallas Cowboys
"East Baton Rouge Parish, Louisiana",New Orleans Saints
"Dorchester County, South Carolina",Dallas Cowboys
"St. Joseph County, Indiana",Indianapolis Colts
"Lubbock County, Texas",Dallas Cowboys
"Wyandotte County, Kansas",Kansas City Chiefs
"Greene County, Ohio",Cincinnati Bengals
"Galveston County, Texas",Houston Texans
"Ottawa County, Michigan",Detroit Lions
"Coweta County, Georgia",Atlanta Falcons
"Williamson County, Texas",Dallas Cowboys
"Montgomery County, Alabama",New England Patriots
"Anchorage, Alaska",Green Bay Packers
"Lake County, Illinois",Chicago Bears
"Saginaw County, Michigan",Detroit Lions
"Kenosha County, Wisconsin",Green Bay Packers
"Johnson County, Kansas",Kansas City Chiefs
"Montgomery County, Tennessee",Tennessee Titans
"Elkhart County, Indiana",Chicago Bears
"Marion County, Oregon",Seattle Seahawks
"Stafford County, Virginia",Washington Redskins
"Rensselaer County, New York",New York Giants
"Lucas County, Ohio",Cleveland Browns
"Racine County, Wisconsin",Green Bay Packers
"Pierce County, Washington",Seattle Seahawks
"Napa County, California",Oakland Raiders
"Shawnee County, Kansas",Kansas City Chiefs
"Summit County, Utah",Seattle Seahawks
"Hays County, Texas",Dallas Cowboys
"Nueces County, Texas",Dallas Cowboys
"Larimer County, Colorado",Denver Broncos
"Cumberland County, North Carolina",Carolina Panthers
"Clermont County, Ohio",Cincinnati Bengals
"Brown County, Wisconsin",Green Bay Packers
"Rutherford County, Tennessee",Tennessee Titans
"Snohomish County, Washington",Seattle Seahawks
"Lehigh County, Pennsylvania",Philadelphia Eagles
"Tulare County, California",Oakland Raiders
"Will County, Illinois",Chicago Bears
"San Diego County, California",Los Angeles Chargers
"Leon County, Florida",Jacksonville Jaguars
"Collier County, Florida",Philadelphia Eagles
"Clarke County, Georgia",Atlanta Falcons
"Polk County, Iowa",Kansas City Chiefs
"Champaign County, Illinois",Chicago Bears
"Mobile County, Alabama",New Orleans Saints
"Manatee County, Florida",New England Patriots
"Centre County, Pennsylvania",Philadelphia Eagles
"Sussex County, Delaware",Philadelphia Eagles
"Douglas County, Colorado",Denver Broncos
"Allen County, Indiana",Indianapolis Colts
"Middlesex County, Connecticut",New England Patriots
"Ada County, Idaho",San Francisco 49ers
"Tuscaloosa County, Alabama",Philadelphia Eagles
"Boulder County, Colorado",Denver Broncos
"Dane County, Wisconsin",Green Bay Packers
"Clay County, Missouri",Kansas City Chiefs
"Maury County, Tennessee",Tennessee Titans
"Clark County, Nevada",Oakland Raiders
"Washington County, Minnesota",Minnesota Vikings
"Union County, North Carolina",Carolina Panthers
"Albemarle County, Virginia",Philadelphia Eagles
"Madison County, Alabama",New England Patriots
"Chittenden County, Vermont",New England Patriots
"Honolulu County, Hawaii",Tennessee Titans
"Ventura County, California",Dallas Cowboys
"St. Tammany Parish, Louisiana",New Orleans Saints
"Stark County, Ohio",Cleveland Browns
"Loudoun County, Virginia",Washington Redskins
"Osceola County, Florida",New England Patriots
"Kent County, Delaware",Philadelphia Eagles
"Monroe County, New York",Buffalo Bills
"Pulaski County, Arkansas",Dallas Cowboys
"Bay County, Florida",Philadelphia Eagles
"Orleans Parish, Louisiana",New Orleans Saints
"Waukesha County, Wisconsin",Green Bay Packers
"Stanislaus County, California",Oakland Raiders
"Fairfield County, Connecticut",New York Giants
"McLean County, Illinois",Chicago Bears
"New Haven County, Connecticut",New York Giants
"Dakota County, Minnesota",Minnesota Vikings
"Durham County, North Carolina",Carolina Panthers
"Whatcom County, Washington",Seattle Seahawks
"Hampden County, Massachusetts",New England Patriots
"Linn County, Iowa",Minnesota Vikings
"Sonoma County, California",New York Giants
"Sedgwick County, Kansas",Kansas City Chiefs
"Weld County, Colorado",Denver Broncos
"Multnomah County, Oregon",Seattle Seahawks
"Riverside County, California",Oakland Raiders
"Spokane County, Washington",Seattle Seahawks
"Tulsa County, Oklahoma",Dallas Cowboys
"Allegheny County, Pennsylvania",Pittsburgh Steelers
"Plymouth County, Massachusetts",New England Patriots
"Burlington County, New Jersey",Philadelphia Eagles
"Cook County, Illinois",Chicago Bears
"Camden County, New Jersey",Philadelphia Eagles
"Franklin County, Ohio",Cleveland Browns
"Greenville County, South Carolina",Carolina Panthers
"Onondaga County, New York",Buffalo Bills
"Essex County, New Jersey",New York Giants
"Rockland County, New York",New York Giants
"Oklahoma County, Oklahoma",Dallas Cowboys
"Morris County, New Jersey",New York Giants
"Bergen County, New Jersey",New York Giants
"Davidson County, Tennessee",Tennessee Titans
"Brevard County, Florida",New England Patriots
"Los Angeles County, California",Oakland Raiders
"San Bernardino County, California",Oakland Raiders
"Richland County, South Carolina",Pittsburgh Steelers
"Washington County, Oregon",Seattle Seahawks
"Lake County, Florida",Green Bay Packers
"Clackamas County, Oregon",Seattle Seahawks
"Adams County, Colorado",Denver Broncos
"Spartanburg County, South Carolina",Carolina Panthers
"San Joaquin County, California",San Francisco 49ers
"Dauphin County, Pennsylvania",Philadelphia Eagles
"Milwaukee County, Wisconsin",Green Bay Packers
"Warren County, Ohio",Cincinnati Bengals
"Henrico County, Virginia",Washington Redskins
"Westmoreland County, Pennsylvania",Pittsburgh Steelers
"Jefferson County, Colorado",Denver Broncos
"Montgomery County, Texas",Houston Texans
"McHenry County, Illinois",Chicago Bears
"Alameda County, California",Oakland Raiders
"Lorain County, Ohio",Cleveland Browns
"New York County, New York",New York Giants
"El Paso County, Colorado",Denver Broncos
"Collin County, Texas",Dallas Cowboys
"Delaware County, Pennsylvania",Philadelphia Eagles
"Marion County, Indiana",Indianapolis Colts
"Washoe County, Nevada",Oakland Raiders
"Marin County, California",New York Giants
"Forsyth County, North Carolina",Carolina Panthers
"Clark County, Washington",Seattle Seahawks
"Mercer County, New Jersey",Philadelphia Eagles
"Douglas County, Nebraska",Minnesota Vikings
"Montgomery County, Ohio",Cleveland Browns
"Kern County, California",Oakland Raiders
"King County, Washington",Seattle Seahawks
"Hennepin County, Minnesota",Minnesota Vikings
"Arapahoe County, Colorado",Denver Broncos
"Washtenaw County, Michigan",Detroit Lions
"Monmouth County, New Jersey",New York Giants
"Orange County, Florida",New England Patriots
"Cumberland County, Maine",New England Patriots
"Horry County, South Carolina",Philadelphia Eagles
"Hamilton County, Ohio",Cincinnati Bengals
"Macomb County, Michigan",Detroit Lions
"Kent County, Michigan",Detroit Lions
"Shelby County, Tennessee",Dallas Cowboys
"York County, Pennsylvania",Philadelphia Eagles
"Hamilton County, Indiana",Indianapolis Colts
"Jackson County, Missouri",Kansas City Chiefs
"Pinellas County, Florida",Tampa Bay Buccaneers
"Howard County, Maryland",Baltimore Ravens
"Philadelphia County, Pennsylvania",Philadelphia Eagles
"Sacramento County, California",San Francisco 49ers
"Monterey County, California",San Francisco 49ers
"Kane County, Illinois",Chicago Bears
"Ramsey County, Minnesota",Minnesota Vikings
"Baltimore County, Maryland",Baltimore Ravens
"Orange County, California",Oakland Raiders
"Prince William County, Virginia",Washington Redskins
"Fresno County, California",Oakland Raiders
"Lake County, Indiana",Chicago Bears
"Volusia County, Florida",Philadelphia Eagles
"Hillsborough County, Florida",Tampa Bay Buccaneers
"Fairfax County, Virginia",Washington Redskins
"Erie County, New York",Buffalo Bills
"Westchester County, New York",New York Giants
"Essex County, Massachusetts",New England Patriots
"San Mateo County, California",San Francisco 49ers
"Travis County, Texas",Dallas Cowboys
"Arlington County, Virginia",Washington Redskins
"Cuyahoga County, Ohio",Cleveland Browns
"Cobb County, Georgia",Atlanta Falcons
"Charleston County, South Carolina",New England Patriots
"Morrow County, Oregon",New England Patriots
"Middlesex County, New Jersey",New York Giants
"Salt Lake County, Utah",Denver Broncos
"Bristol County, Massachusetts",New England Patriots
"Richmond County, New York",New England Patriots
"Duval County, Florida",Jacksonville Jaguars
"Prince George's County, Maryland",Washington Redskins
"Suffolk County, Massachusetts",New England Patriots
"Seminole County, Florida",New England Patriots
"Jefferson County, Alabama",New England Patriots
"DeKalb County, Georgia",Atlanta Falcons
"New Castle County, Delaware",Philadelphia Eagles
"Wayne County, Michigan",Detroit Lions
"Miami-Dade County, Florida",Miami Dolphins
"Polk County, Florida",New England Patriots
"Bexar County, Texas",Dallas Cowboys
"Nassau County, New York",New York Giants
"Summit County, Ohio",Cleveland Browns
"DuPage County, Illinois",Chicago Bears
"Wake County, North Carolina",Carolina Panthers
"Butler County, Ohio",Cincinnati Bengals
"Worcester County, Massachusetts",New England Patriots
"Tarrant County, Texas",Dallas Cowboys
"Montgomery County, Pennsylvania",Philadelphia Eagles
"Passaic County, New Jersey",New York Giants
"Contra Costa County, California",Oakland Raiders
"Middlesex County, Massachusetts",New England Patriots
"Fulton County, Georgia",Atlanta Falcons
"Norfolk County, Massachusetts",New England Patriots
"Hartford County, Connecticut",New England Patriots
"Denver County, Colorado",Denver Broncos
"Broward County, Florida",Miami Dolphins
"Dallas County, Texas",Dallas Cowboys
"Lee County, Florida",New England Patriots
"Providence County, Rhode Island",New England Patriots
"Gwinnett County, Georgia",Atlanta Falcons
"Suffolk County, New York",New York Giants
"Denton County, Texas",Dallas Cowboys
"San Francisco County, California",New York Giants
"Oakland County, Michigan",Detroit Lions
"Harris County, Texas",Houston Texans
"Santa Clara County, California",San Francisco 49ers
"Hudson County, New Jersey",New York Giants
"Bronx County, New York",New York Giants
"Queens County, New York",New York Giants
"Montgomery County, Maryland",Washington Redskins
"Mecklenburg County, North Carolina",Carolina Panthers
"Kings County, New York",New York Giants
"Palm Beach County, Florida",Miami Dolphins
"Autauga County, Alabama",New Orleans Saints
"Barbour County, Alabama",Dallas Cowboys
"Bibb County, Alabama",Philadelphia Eagles
"Blount County, Alabama",Philadelphia Eagles
"Butler County, Alabama",San Francisco 49ers
"Calhoun County, Alabama",Cleveland Browns
"Chambers County, Alabama",New England Patriots
"Cherokee County, Alabama",Denver Broncos
"Chilton County, Alabama",Tennessee Titans
"Choctaw County, Alabama",Atlanta Falcons
"Clarke County, Alabama",New Orleans Saints
"Clay County, Alabama",New England Patriots
"Cleburne County, Alabama",Philadelphia Eagles
"Coffee County, Alabama",Seattle Seahawks
"Colbert County, Alabama",New England Patriots
"Conecuh County, Alabama",New York Jets
"Coosa County, Alabama",New England Patriots
"Covington County, Alabama",New Orleans Saints
"Crenshaw County, Alabama",Atlanta Falcons
"Cullman County, Alabama",New Orleans Saints
"Dale County, Alabama",Detroit Lions
"Dallas County, Alabama",Atlanta Falcons
"DeKalb County, Alabama",Philadelphia Eagles
"Elmore County, Alabama",Buffalo Bills
"Escambia County, Alabama",Seattle Seahawks
"Etowah County, Alabama",Carolina Panthers
"Fayette County, Alabama",New England Patriots
"Franklin County, Alabama",Tennessee Titans
"Geneva County, Alabama",Philadelphia Eagles
"Hale County, Alabama",Green Bay Packers
"Henry County, Alabama",Minnesota Vikings
"Houston County, Alabama",San Francisco 49ers
"Jackson County, Alabama",New England Patriots
"Lamar County, Alabama",Tennessee Titans
"Lawrence County, Alabama",Philadelphia Eagles
"Limestone County, Alabama",Dallas Cowboys
"Macon County, Alabama",Philadelphia Eagles
"Marengo County, Alabama",Dallas Cowboys
"Marion County, Alabama",New England Patriots
"Monroe County, Alabama",New Orleans Saints
"Morgan County, Alabama",New England Patriots
"Perry County, Alabama",Los Angeles Rams
"Pickens County, Alabama",New England Patriots
"Pike County, Alabama",Philadelphia Eagles
"Randolph County, Alabama",Jacksonville Jaguars
"Russell County, Alabama",New England Patriots
"St. Clair County, Alabama",Philadelphia Eagles
"Shelby County, Alabama",New England Patriots
"Sumter County, Alabama",Tennessee Titans
"Talladega County, Alabama",Chicago Bears
"Tallapoosa County, Alabama",New England Patriots
"Walker County, Alabama",Detroit Lions
"Washington County, Alabama",Philadelphia Eagles
"Wilcox County, Alabama",New England Patriots
"Winston County, Alabama",Tennessee Titans
"Bethel, Alaska",Seattle Seahawks
"Bristol Bay, Alaska",Green Bay Packers
"Denali, Alaska",Green Bay Packers
"Dillingham, Alaska",Seattle Seahawks
"Fairbanks North Star, Alaska",Green Bay Packers
"Haines, Alaska",Buffalo Bills
"Juneau, Alaska",Denver Broncos
"Kodiak Island, Alaska",Seattle Seahawks
"North Slope, Alaska",Buffalo Bills
"Northwest Arctic, Alaska",New England Patriots
"Prince of Wales-Hyder Census Area, Alaska",Tampa Bay Buccaneers
"Sitka, Alaska",New England Patriots
"Southeast Fairbanks, Alaska",New York Jets
"Valdez-Cordova, Alaska",New England Patriots
"Petersburg Borough, Alaska",Cincinnati Bengals
"Yukon-Koyukuk, Alaska",Dallas Cowboys
"Arkansas County, Arkansas",New England Patriots
"Ashley County, Arkansas",Dallas Cowboys
"Baxter County, Arkansas",Kansas City Chiefs
"Benton County, Arkansas",Dallas Cowboys
"Boone County, Arkansas",Dallas Cowboys
"Calhoun County, Arkansas",Pittsburgh Steelers
"Carroll County, Arkansas",Kansas City Chiefs
"Chicot County, Arkansas",Indianapolis Colts
"Clark County, Arkansas",New England Patriots
"Cleburne County, Arkansas",Philadelphia Eagles
"Cleveland County, Arkansas",Dallas Cowboys
"Columbia County, Arkansas",Jacksonville Jaguars
"Conway County, Arkansas",New York Giants
"Crittenden County, Arkansas",Dallas Cowboys
"Cross County, Arkansas",New England Patriots
"Dallas County, Arkansas",Dallas Cowboys
"Desha County, Arkansas",Cincinnati Bengals
"Drew County, Arkansas",Philadelphia Eagles
"Faulkner County, Arkansas",Green Bay Packers
"Franklin County, Arkansas",Tennessee Titans
"Fulton County, Arkansas",New England Patriots
"Garland County, Arkansas",Dallas Cowboys
"Grant County, Arkansas",Chicago Bears
"Greene County, Arkansas",New York Giants
"Hempstead County, Arkansas",Dallas Cowboys
"Hot Spring County, Arkansas",Kansas City Chiefs
"Howard County, Arkansas",Dallas Cowboys
"Independence County, Arkansas",Green Bay Packers
