"1st and 2nd Most Searched Democratic Presidential Candidates from June 1, 2015 - Oct 11, 2015",,,,
FIPS,1st,2nd,State,CountyName
5073,Bernie Sanders,Hillary Clinton,Arkansas,Lafayette
5075,Hillary Clinton,Bernie Sanders,Arkansas,Lawrence
5077,Hillary Clinton,Bernie Sanders,Arkansas,Lee
5081,Bernie Sanders,Hillary Clinton,Arkansas,Little River
5083,Bernie Sanders,Hillary Clinton,Arkansas,Logan
5085,Bernie Sanders,Hillary Clinton,Arkansas,Lonoke
5087,Hillary Clinton,Bernie Sanders,Arkansas,Madison
5089,Hillary Clinton,Bernie Sanders,Arkansas,Marion
5091,Bernie Sanders,Hillary Clinton,Arkansas,Miller
5093,Bernie Sanders,Hillary Clinton,Arkansas,Mississippi
5095,Hillary Clinton,No Data,Arkansas,Monroe
5097,Hillary Clinton,Jim Webb,NA,NA
5099,Hillary Clinton,Bernie Sanders,Arkansas,Nevada
5103,Hillary Clinton,Bernie Sanders,Arkansas,Ouachita
5105,Bernie Sanders,Hillary Clinton,Arkansas,Perry
5107,Bernie Sanders,Hillary Clinton,Arkansas,Phillips
5109,Hillary Clinton,Bernie Sanders,Arkansas,Pike
5111,Hillary Clinton,Bernie Sanders,Arkansas,Poinsett
5113,Bernie Sanders,Hillary Clinton,Arkansas,Polk
5115,Hillary Clinton,Bernie Sanders,Arkansas,Pope
5117,Hillary Clinton,No Data,Arkansas,Prairie
5119,Hillary Clinton,Bernie Sanders,Arkansas,Pulaski
5121,Bernie Sanders,Hillary Clinton,Arkansas,Randolph
5123,Hillary Clinton,Bernie Sanders,Arkansas,St Francis
5125,Bernie Sanders,Hillary Clinton,Arkansas,Saline
5127,Hillary Clinton,Bernie Sanders,Arkansas,Scott
5129,Hillary Clinton,Bernie Sanders,Arkansas,Searcy
5131,Hillary Clinton,Bernie Sanders,Arkansas,Sebastian
5133,Hillary Clinton,Bernie Sanders,Arkansas,Sevier
5135,Hillary Clinton,Bernie Sanders,Arkansas,Sharp
5137,Hillary Clinton,Bernie Sanders,Arkansas,Stone
5139,Hillary Clinton,Bernie Sanders,Arkansas,Union
5141,Bernie Sanders,Hillary Clinton,Arkansas,Van Buren
5143,Hillary Clinton,Bernie Sanders,Arkansas,Washington
5145,Hillary Clinton,Bernie Sanders,Arkansas,White
5147,Jim Webb,Hillary Clinton,Arkansas,Woodruff
5149,Hillary Clinton,Bernie Sanders,Arkansas,Yell
6001,Bernie Sanders,Hillary Clinton,California,Alameda
6003,Hillary Clinton,Bernie Sanders,California,Alpine
6005,Hillary Clinton,Bernie Sanders,California,Amador
6007,Bernie Sanders,Hillary Clinton,California,Butte
6009,Bernie Sanders,Hillary Clinton,California,Calaveras
6011,Hillary Clinton,Bernie Sanders,California,Colusa
6013,Hillary Clinton,Bernie Sanders,California,Contra Costa
6015,Bernie Sanders,Hillary Clinton,California,Del Norte
6017,Hillary Clinton,Bernie Sanders,California,El Dorado
6019,Bernie Sanders,Hillary Clinton,California,Fresno
6021,Bernie Sanders,Hillary Clinton,California,Glenn
6023,Bernie Sanders,Hillary Clinton,California,Humboldt
6025,Bernie Sanders,Hillary Clinton,California,Imperial
6027,Bernie Sanders,Hillary Clinton,California,Inyo
6029,Bernie Sanders,Hillary Clinton,California,Kern
6031,Hillary Clinton,Bernie Sanders,California,Kings
6033,Bernie Sanders,Hillary Clinton,California,Lake
6035,Bernie Sanders,Hillary Clinton,California,Lassen
6037,Bernie Sanders,Hillary Clinton,California,Los Angeles
6039,Hillary Clinton,Bernie Sanders,California,Madera
6041,Bernie Sanders,Hillary Clinton,California,Marin
6043,Hillary Clinton,Bernie Sanders,California,Mariposa
6045,Bernie Sanders,Hillary Clinton,California,Mendocino
6047,Hillary Clinton,Bernie Sanders,California,Merced
6049,Hillary Clinton,Bernie Sanders,California,Modoc
6051,Bernie Sanders,Hillary Clinton,California,Mono
6053,Hillary Clinton,Bernie Sanders,California,Monterey
6055,Bernie Sanders,Hillary Clinton,California,Napa
6057,Bernie Sanders,Hillary Clinton,California,Nevada
6059,Hillary Clinton,Bernie Sanders,California,Orange
6061,Bernie Sanders,Hillary Clinton,California,Placer
6063,Hillary Clinton,Bernie Sanders,California,Plumas
6065,Bernie Sanders,Hillary Clinton,California,Riverside
6067,Bernie Sanders,Hillary Clinton,California,Sacramento
6069,Bernie Sanders,Hillary Clinton,California,San Benito
6071,Hillary Clinton,Bernie Sanders,California,San Bernardino
6073,Hillary Clinton,Bernie Sanders,California,San Diego
6075,Bernie Sanders,Hillary Clinton,California,San Francisco
6077,Bernie Sanders,Hillary Clinton,California,San Joaquin
6079,Bernie Sanders,Hillary Clinton,California,San Luis Obispo
6081,Bernie Sanders,Hillary Clinton,California,San Mateo
6083,Bernie Sanders,Hillary Clinton,California,Santa Barbara
6085,Bernie Sanders,Hillary Clinton,California,Santa Clara
6087,Bernie Sanders,Hillary Clinton,California,Santa Cruz
6089,Hillary Clinton,Bernie Sanders,California,Shasta
6093,Hillary Clinton,Bernie Sanders,California,Siskiyou
6095,Bernie Sanders,Hillary Clinton,California,Solano
6097,Bernie Sanders,Hillary Clinton,California,Sonoma
6099,Bernie Sanders,Hillary Clinton,California,Stanislaus
6101,Hillary Clinton,Bernie Sanders,California,Sutter
6103,Bernie Sanders,Hillary Clinton,California,Tehama
6105,Bernie Sanders,Hillary Clinton,California,Trinity
6107,Hillary Clinton,Bernie Sanders,California,Tulare
6109,Hillary Clinton,Bernie Sanders,California,Tuolumne
6111,Bernie Sanders,Hillary Clinton,California,Ventura
6113,Bernie Sanders,Hillary Clinton,California,Yolo
6115,Bernie Sanders,Hillary Clinton,California,Yuba
8001,Hillary Clinton,Bernie Sanders,Colorado,Adams
8003,Bernie Sanders,Hillary Clinton,Colorado,Alamosa
8005,Bernie Sanders,Hillary Clinton,Colorado,Arapahoe
8007,Bernie Sanders,Hillary Clinton,Colorado,Archuleta
8009,Bernie Sanders,No Data,Colorado,Baca
8011,Bernie Sanders,Hillary Clinton,Colorado,Bent
8013,Bernie Sanders,Hillary Clinton,Colorado,Boulder
8014,Bernie Sanders,Hillary Clinton,Colorado,Broomfield
8015,Bernie Sanders,Hillary Clinton,Colorado,Chaffee
8019,Bernie Sanders,Hillary Clinton,Colorado,Clear Creek
8021,Hillary Clinton,Bernie Sanders,Colorado,Conejos
8023,Bernie Sanders,No Data,Colorado,Costilla
8025,Bernie Sanders,Hillary Clinton,Colorado,Crowley
8027,Bernie Sanders,Hillary Clinton,Colorado,Custer
8029,Hillary Clinton,Bernie Sanders,Colorado,Delta
8031,Bernie Sanders,Hillary Clinton,Colorado,Denver
8035,Hillary Clinton,Bernie Sanders,Colorado,Douglas
8037,Hillary Clinton,Bernie Sanders,Colorado,Eagle
8039,Bernie Sanders,Hillary Clinton,Colorado,Elbert
8041,Hillary Clinton,Bernie Sanders,Colorado,El Paso
8043,Bernie Sanders,Hillary Clinton,Colorado,Fremont
8045,Bernie Sanders,Hillary Clinton,Colorado,Garfield
8047,Hillary Clinton,Bernie Sanders,Colorado,Gilpin
8049,Bernie Sanders,Hillary Clinton,Colorado,Grand
8051,Bernie Sanders,Hillary Clinton,Colorado,Gunnison
8053,Bernie Sanders,Hillary Clinton,Colorado,Hinsdale
8055,Bernie Sanders,Hillary Clinton,Colorado,Huerfano
8059,Bernie Sanders,Hillary Clinton,Colorado,Jefferson
8063,Bernie Sanders,Hillary Clinton,Colorado,Kit Carson
8065,Bernie Sanders,Hillary Clinton,Colorado,Lake
8067,Bernie Sanders,Hillary Clinton,Colorado,La Plata
8069,Bernie Sanders,Hillary Clinton,Colorado,Larimer
8071,Hillary Clinton,Bernie Sanders,Colorado,Las Animas
8073,Hillary Clinton,Bernie Sanders,Colorado,Lincoln
8075,Hillary Clinton,Bernie Sanders,Colorado,Logan
8077,Bernie Sanders,Hillary Clinton,Colorado,Mesa
8079,Hillary Clinton,No Data,Colorado,Mineral
8081,Bernie Sanders,Hillary Clinton,Colorado,Moffat
8083,Bernie Sanders,Hillary Clinton,Colorado,Montezuma
8085,Hillary Clinton,Bernie Sanders,Colorado,Montrose
8087,Hillary Clinton,Bernie Sanders,Colorado,Morgan
8089,Hillary Clinton,Bernie Sanders,Colorado,Otero
8091,Bernie Sanders,Hillary Clinton,Colorado,Ouray
8093,Hillary Clinton,Bernie Sanders,Colorado,Park
8095,Bernie Sanders,Hillary Clinton,Colorado,Phillips
8097,Hillary Clinton,Bernie Sanders,Colorado,Pitkin
8099,Bernie Sanders,Hillary Clinton,Colorado,Prowers
8101,Hillary Clinton,Bernie Sanders,Colorado,Pueblo
8103,Bernie Sanders,Hillary Clinton,Colorado,Rio Blanco
8105,Bernie Sanders,Hillary Clinton,Colorado,Rio Grande
8107,Hillary Clinton,Bernie Sanders,Colorado,Routt
8109,Bernie Sanders,No Data,Colorado,Saguache
8113,Bernie Sanders,Hillary Clinton,Colorado,San Miguel
8117,Hillary Clinton,Bernie Sanders,Colorado,Summit
8119,Bernie Sanders,Hillary Clinton,Colorado,Teller
8121,Bernie Sanders,Hillary Clinton,Colorado,Washington
8123,Hillary Clinton,Bernie Sanders,Colorado,Weld
8125,Hillary Clinton,Bernie Sanders,Colorado,Yuma
9001,Hillary Clinton,Bernie Sanders,Connecticut,Fairfield
9003,Bernie Sanders,Hillary Clinton,Connecticut,Hartford
9005,Bernie Sanders,Hillary Clinton,Connecticut,Litchfield
9007,Bernie Sanders,Hillary Clinton,Connecticut,Middlesex
9009,Bernie Sanders,Hillary Clinton,Connecticut,New Haven
9011,Bernie Sanders,Hillary Clinton,Connecticut,New London
9013,Bernie Sanders,Hillary Clinton,Connecticut,Tolland
9015,Bernie Sanders,Hillary Clinton,Connecticut,Windham
10001,Hillary Clinton,Bernie Sanders,Delaware,Kent
10003,Hillary Clinton,Bernie Sanders,Delaware,New Castle
10005,Hillary Clinton,Bernie Sanders,Delaware,Sussex
11001,Hillary Clinton,Bernie Sanders,District of Columbia,District of Columbia
12001,Bernie Sanders,Hillary Clinton,Florida,Alachua
12003,Bernie Sanders,Hillary Clinton,Florida,Baker
12005,Hillary Clinton,Bernie Sanders,Florida,Bay
12007,Bernie Sanders,Hillary Clinton,Florida,Bradford
12009,Bernie Sanders,Hillary Clinton,Florida,Brevard
12011,Hillary Clinton,Bernie Sanders,Florida,Broward
12013,Bernie Sanders,Hillary Clinton,Florida,Calhoun
12015,Bernie Sanders,Hillary Clinton,Florida,Charlotte
12017,Hillary Clinton,Bernie Sanders,Florida,Citrus
12019,Hillary Clinton,Bernie Sanders,Florida,Clay
12021,Hillary Clinton,Bernie Sanders,Florida,Collier
12023,Bernie Sanders,Hillary Clinton,Florida,Columbia
12027,Hillary Clinton,Bernie Sanders,Florida,De Soto
12029,Bernie Sanders,Hillary Clinton,Florida,Dixie
12031,Hillary Clinton,Bernie Sanders,Florida,Duval
12033,Hillary Clinton,Bernie Sanders,Florida,Escambia
12035,Hillary Clinton,Bernie Sanders,Florida,Flagler
12037,Hillary Clinton,Bernie Sanders,Florida,Franklin
12039,Hillary Clinton,Bernie Sanders,Florida,Gadsden
12041,Hillary Clinton,Bernie Sanders,Florida,Gilchrist
12043,Bernie Sanders,Hillary Clinton,Florida,Glades
12045,Hillary Clinton,Bernie Sanders,Florida,Gulf
12047,Bernie Sanders,Hillary Clinton,Florida,Hamilton
12049,Hillary Clinton,Bernie Sanders,Florida,Hardee
12051,Hillary Clinton,Bernie Sanders,Florida,Hendry
12053,Hillary Clinton,Bernie Sanders,Florida,Hernando
12055,Bernie Sanders,Hillary Clinton,Florida,Highlands
12057,Hillary Clinton,Bernie Sanders,Florida,Hillsborough
12059,Bernie Sanders,No Data,Florida,Holmes
12061,Hillary Clinton,Bernie Sanders,Florida,Indian River
12063,Bernie Sanders,Hillary Clinton,Florida,Jackson
12065,Hillary Clinton,Bernie Sanders,Florida,Jefferson
12067,Bernie Sanders,Hillary Clinton,Florida,Lafayette
12069,Bernie Sanders,Hillary Clinton,Florida,Lake
12071,Hillary Clinton,Bernie Sanders,Florida,Lee
12073,Hillary Clinton,Bernie Sanders,Florida,Leon
12075,Hillary Clinton,Bernie Sanders,Florida,Levy
12077,Bernie Sanders,No Data,Florida,Liberty
12079,Hillary Clinton,Bernie Sanders,Florida,Madison
12081,Hillary Clinton,Bernie Sanders,Florida,Manatee
12083,Bernie Sanders,Hillary Clinton,Florida,Marion
12085,Hillary Clinton,Bernie Sanders,Florida,Martin
12086,Hillary Clinton,Bernie Sanders,Florida,Miami-Dade
12087,Hillary Clinton,Bernie Sanders,Florida,Monroe
12089,Bernie Sanders,Hillary Clinton,Florida,Nassau
12091,Hillary Clinton,Bernie Sanders,Florida,Okaloosa
12093,Hillary Clinton,Bernie Sanders,Florida,Okeechobee
12095,Hillary Clinton,Bernie Sanders,Florida,Orange
12097,Bernie Sanders,Hillary Clinton,Florida,Osceola
12099,Hillary Clinton,Bernie Sanders,Florida,Palm Beach
12101,Hillary Clinton,Bernie Sanders,Florida,Pasco
12103,Bernie Sanders,Hillary Clinton,Florida,Pinellas
12105,Hillary Clinton,Bernie Sanders,Florida,Polk
12107,Hillary Clinton,Bernie Sanders,Florida,Putnam
12109,Bernie Sanders,Hillary Clinton,Florida,St Johns
12111,Hillary Clinton,Bernie Sanders,Florida,St Lucie
12113,Hillary Clinton,Bernie Sanders,Florida,Santa Rosa
12115,Hillary Clinton,Bernie Sanders,Florida,Sarasota
12117,Hillary Clinton,Bernie Sanders,Florida,Seminole
12119,Hillary Clinton,Bernie Sanders,Florida,Sumter
12121,Hillary Clinton,Bernie Sanders,Florida,Suwannee
12123,Bernie Sanders,Hillary Clinton,Florida,Taylor
12125,Bernie Sanders,Hillary Clinton,Florida,Union
12127,Bernie Sanders,Hillary Clinton,Florida,Volusia
12129,Bernie Sanders,Hillary Clinton,Florida,Wakulla
12131,Hillary Clinton,Bernie Sanders,Florida,Walton
12133,Hillary Clinton,Bernie Sanders,Florida,Washington
13001,Hillary Clinton,Bernie Sanders,Georgia,Appling
13003,Bernie Sanders,Hillary Clinton,Georgia,Atkinson
13005,Hillary Clinton,Bernie Sanders,Georgia,Bacon
13007,Bernie Sanders,No Data,Georgia,Baker
13009,Bernie Sanders,Hillary Clinton,Georgia,Baldwin
13011,Bernie Sanders,Jim Webb,Georgia,Banks
13013,Hillary Clinton,Bernie Sanders,Georgia,Barrow
13015,Hillary Clinton,Bernie Sanders,Georgia,Bartow
13019,Bernie Sanders,Hillary Clinton,Georgia,Berrien
13021,Hillary Clinton,Bernie Sanders,Georgia,Bibb
13023,Bernie Sanders,Hillary Clinton,Georgia,Bleckley
13025,Hillary Clinton,Bernie Sanders,Georgia,Brantley
13027,Hillary Clinton,Bernie Sanders,Georgia,Brooks
13029,Hillary Clinton,Bernie Sanders,Georgia,Bryan
13031,Hillary Clinton,Bernie Sanders,Georgia,Bulloch
13033,Hillary Clinton,Bernie Sanders,Georgia,Burke
13035,Hillary Clinton,Bernie Sanders,Georgia,Butts
13037,Hillary Clinton,No Data,Georgia,Calhoun
13039,Bernie Sanders,Jim Webb,Georgia,Camden
13043,Hillary Clinton,Bernie Sanders,Georgia,Candler
13045,Bernie Sanders,Hillary Clinton,Georgia,Carroll
13047,Hillary Clinton,Bernie Sanders,Georgia,Catoosa
13049,Hillary Clinton,No Data,Georgia,Charlton
13051,Hillary Clinton,Bernie Sanders,Georgia,Chatham
13053,Hillary Clinton,Bernie Sanders,Georgia,Chattahoochee
13055,Hillary Clinton,Jim Webb,Georgia,Chattooga
13057,Hillary Clinton,Bernie Sanders,Georgia,Cherokee
13059,Bernie Sanders,Hillary Clinton,Georgia,Clarke
13063,Bernie Sanders,Hillary Clinton,Georgia,Clayton
13065,Hillary Clinton,Bernie Sanders,Georgia,Clinch
13067,Hillary Clinton,Bernie Sanders,Georgia,Cobb
13069,Bernie Sanders,Hillary Clinton,Georgia,Coffee
13071,Hillary Clinton,Bernie Sanders,Georgia,Colquitt
13073,Hillary Clinton,Bernie Sanders,Georgia,Columbia
13075,Hillary Clinton,Bernie Sanders,Georgia,Cook
13077,Bernie Sanders,Hillary Clinton,Georgia,Coweta
13079,Hillary Clinton,Bernie Sanders,Georgia,Crawford
13081,Hillary Clinton,Bernie Sanders,Georgia,Crisp
13083,Hillary Clinton,Bernie Sanders,Georgia,Dade
13085,Hillary Clinton,Bernie Sanders,Georgia,Dawson
13087,Hillary Clinton,Bernie Sanders,Georgia,Decatur
13089,Bernie Sanders,Hillary Clinton,Georgia,De Kalb
13091,Bernie Sanders,Hillary Clinton,Georgia,Dodge
13093,Hillary Clinton,Bernie Sanders,Georgia,Dooly
13095,Bernie Sanders,Hillary Clinton,Georgia,Dougherty
13097,Bernie Sanders,Hillary Clinton,Georgia,Douglas
13099,Hillary Clinton,Bernie Sanders,Georgia,Early
13101,Hillary Clinton,No Data,Georgia,Echols
13103,Bernie Sanders,Hillary Clinton,Georgia,Effingham
13105,Hillary Clinton,Bernie Sanders,Georgia,Elbert
13107,Bernie Sanders,Hillary Clinton,Georgia,Emanuel
13109,Bernie Sanders,Hillary Clinton,Georgia,Evans
13111,Hillary Clinton,Bernie Sanders,Georgia,Fannin
13113,Hillary Clinton,Bernie Sanders,Georgia,Fayette
13115,Hillary Clinton,Bernie Sanders,Georgia,Floyd
13117,Hillary Clinton,Bernie Sanders,Georgia,Forsyth
13119,Bernie Sanders,Hillary Clinton,Georgia,Franklin
13121,Hillary Clinton,Bernie Sanders,Georgia,Fulton
13123,Hillary Clinton,Bernie Sanders,Georgia,Gilmer
13125,Hillary Clinton,No Data,Georgia,Glascock
13127,Hillary Clinton,Bernie Sanders,Georgia,Glynn
13129,Hillary Clinton,Bernie Sanders,Georgia,Gordon
13131,Hillary Clinton,Bernie Sanders,Georgia,Grady
13133,Bernie Sanders,Hillary Clinton,Georgia,Greene
13135,Hillary Clinton,Bernie Sanders,Georgia,Gwinnett
13137,Bernie Sanders,Hillary Clinton,Georgia,Habersham
13139,Hillary Clinton,Bernie Sanders,Georgia,Hall
13141,Hillary Clinton,No Data,Georgia,Hancock
13143,Hillary Clinton,Bernie Sanders,Georgia,Haralson
13145,Bernie Sanders,Hillary Clinton,Georgia,Harris
13147,Hillary Clinton,Bernie Sanders,Georgia,Hart
13149,Bernie Sanders,Hillary Clinton,Georgia,Heard
13151,Hillary Clinton,Bernie Sanders,Georgia,Henry
13153,Hillary Clinton,Bernie Sanders,Georgia,Houston
13155,Hillary Clinton,Lincoln Chafee,Georgia,Irwin
13157,Hillary Clinton,Bernie Sanders,Georgia,Jackson
13159,Hillary Clinton,Bernie Sanders,Georgia,Jasper
13161,Hillary Clinton,Bernie Sanders,Georgia,Jeff Davis
13163,Bernie Sanders,Hillary Clinton,Georgia,Jefferson
