County,State,FIPS code,Week: 06/28/2020,Week: 07/05/2020,Week: 07/12/2020,Week: 07/19/2020,Week: 07/26/2020,Week: 08/02/2020,Week: 08/09/2020,Week: 08/16/2020,Week: 08/23/2020,Week: 08/30/2020,Week: 09/13/2020,Week: 09/20/2020
"Andrews County, Texas",Texas,48003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Androscoggin County, Maine",Maine,23001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Angelina County, Texas",Texas,48005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Anne Arundel County, Maryland",Maryland,24003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Anoka County, Minnesota",Minnesota,27003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Anson County, North Carolina",North Carolina,37007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Antelope County, Nebraska",Nebraska,31003,Unemployment,Health Care,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Race
"Antrim County, Michigan",Michigan,26009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Apache County, Arizona",Arizona,04001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Appanoose County, Iowa",Iowa,19007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Appling County, Georgia",Georgia,13001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Appomattox County, Virginia",Virginia,51011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Aransas County, Texas",Texas,48007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Arapahoe County, Colorado",Colorado,08005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Archer County, Texas",Texas,48009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Archuleta County, Colorado",Colorado,08007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Arenac County, Michigan",Michigan,26011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Arkansas County, Arkansas",Arkansas,05001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Arlington County, Virginia",Virginia,51013,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States,Supreme Court of the United States
"Armstrong County, Pennsylvania",Pennsylvania,42005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Armstrong County, Texas",Texas,48011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Aroostook County, Maine",Maine,23003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Arthur County, Nebraska",Nebraska,31005,Wages,Race,Social security,Wages,Unemployment,Unemployment,Wages,Unemployment,Opioid,Economy,Supreme Court of the United States,Supreme Court of the United States
"Ascension Parish, Louisiana",Louisiana,22005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ashe County, North Carolina",North Carolina,37009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ashland County, Ohio",Ohio,39005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ashland County, Wisconsin",Wisconsin,55003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ashley County, Arkansas",Arkansas,05003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ashtabula County, Ohio",Ohio,39007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Asotin County, Washington",Washington,53003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Assumption Parish, Louisiana",Louisiana,22007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atascosa County, Texas",Texas,48013,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atchison County, Kansas",Kansas,20005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atchison County, Missouri",Missouri,29005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Athens County, Ohio",Ohio,39009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atkinson County, Georgia",Georgia,13003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atlantic County, New Jersey",New Jersey,34001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Atoka County, Oklahoma",Oklahoma,40005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Attala County, Mississippi",Mississippi,28007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Audrain County, Missouri",Missouri,29007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Audubon County, Iowa",Iowa,19009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Auglaize County, Ohio",Ohio,39011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Augusta County, Virginia",Virginia,51015,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Aurora County, South Dakota",South Dakota,46003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Immigration,Immigration,Immigration,Immigration,Immigration
"Austin County, Texas",Texas,48015,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Autauga County, Alabama",Alabama,01001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Avery County, North Carolina",North Carolina,37011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Avoyelles Parish, Louisiana",Louisiana,22009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baca County, Colorado",Colorado,08009,Unemployment,Unemployment,Health Care,Unemployment,Unemployment,Unemployment,Wages,Wages,Health Care,Health Care,Unemployment,Supreme Court of the United States
"Bacon County, Georgia",Georgia,13005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bailey County, Texas",Texas,48017,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Health Care,Health Care
"Baker County, Florida",Florida,12003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baker County, Georgia",Georgia,13007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baker County, Oregon",Oregon,41001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baldwin County, Alabama",Alabama,01003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baldwin County, Georgia",Georgia,13009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Ballard County, Kentucky",Kentucky,21007,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baltimore County, Maryland",Maryland,24005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bamberg County, South Carolina",South Carolina,45009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bandera County, Texas",Texas,48019,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Banks County, Georgia",Georgia,13011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Banner County, Nebraska",Nebraska,31007,,Unemployment,Unemployment,Unemployment,Wages,Abortion,NA,Health Care,Abortion,Wages,Economy,Inequality
"Bannock County, Idaho",Idaho,16005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Baraga County, Michigan",Michigan,26013,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barber County, Kansas",Kansas,20007,Unemployment,Health Care,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Barbour County, Alabama",Alabama,01005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barbour County, West Virginia",West Virginia,54001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barnes County, North Dakota",North Dakota,38003,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
"Barnstable County, Massachusetts",Massachusetts,25001,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barnwell County, South Carolina",South Carolina,45011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barren County, Kentucky",Kentucky,21009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barron County, Wisconsin",Wisconsin,55005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barrow County, Georgia",Georgia,13013,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barry County, Michigan",Michigan,26015,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barry County, Missouri",Missouri,29009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bartholomew County, Indiana",Indiana,18005,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barton County, Kansas",Kansas,20009,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Barton County, Missouri",Missouri,29011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bartow County, Georgia",Georgia,13015,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bastrop County, Texas",Texas,48021,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bates County, Missouri",Missouri,29013,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bath County, Kentucky",Kentucky,21011,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment
"Bath County, Virginia",Virginia,51017,Unemployment,Unemployment,Unemployment,Abortion,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Unemployment,Supreme Court of the United States
