GeoType,Geo,query,rank_queries,queries_index
Provincia,Guadalajara,sopa de marisco,4,59.08141962
Provincia,Guadalajara,cebolla caramelizada,5,56.68058455
Provincia,Guadalajara,postres navideños,6,54.80167015
Provincia,Granada,sopa de marisco,1,100
Provincia,Granada,recetas de navidad,2,96.87975647
Provincia,Granada,solomillo wellington,3,86.4028412
Provincia,Granada,postres navideños,4,69.8630137
Provincia,Granada,solomillo relleno,5,55.50481989
Provincia,Granada,lomo relleno,6,48.42719432
Provincia,Girona,recetas de navidad,1,100
Provincia,Girona,aperitivos para navidad,2,72.81045752
Provincia,Girona,aperitivos navidad,3,70.71895425
Provincia,Girona,galletas de navidad,4,67.7124183
Provincia,Girona,postres navideños,5,56.8627451
Provincia,Girona,canapes para navidad,6,56.40522876
Provincia,Gipuzkoa,sopa de pescado,1,100
Provincia,Gipuzkoa,pastel de pescado,2,38.02547771
Provincia,Gipuzkoa,langostinos al horno,3,37.13375796
Provincia,Gipuzkoa,crema pastelera,4,33.3970276
Provincia,Gipuzkoa,recetas de navidad,5,29.10828025
Provincia,Gipuzkoa,croquetas de jamon,6,27.79193206
Provincia,Cuenca,morteruelo,1,100
Provincia,Cuenca,recetas de navidad,2,85.27607362
Provincia,Cuenca,arroz con bogavante,3,78.6809816
Provincia,Cuenca,aperitivos para navidad,4,76.53374233
Provincia,Cuenca,postres navideños,5,63.65030675
Provincia,Cuenca,solomillo wellington,6,58.28220859
Provincia,Cordoba,recetas de navidad,1,100
Provincia,Cordoba,postres navideños,2,95.06648006
Provincia,Cordoba,solomillo wellington,3,88.97830651
Provincia,Cordoba,sopa de marisco,4,74.73757873
Provincia,Cordoba,aperitivos para navidad,5,71.20363891
Provincia,Cordoba,solomillo en salsa,6,63.61091672
Provincia,Ciudad Real,recetas de navidad,1,100
Provincia,Ciudad Real,aperitivos para navidad,2,97.6144423
Provincia,Ciudad Real,postres navideños,3,90.45776918
Provincia,Ciudad Real,arroz con bogavante,4,87.81431335
Provincia,Ciudad Real,solomillo wellington,5,84.91295938
