country,MAX,2ND,3RD
Dominica,Manchester United,Chelsea,Arsenal
Denmark,Manchester United,Liverpool,Chelsea
Dominican Republic,Manchester United,Chelsea,Manchester City
Algeria,Leicester City,Manchester United,Chelsea
Ecuador,Manchester United,Manchester City,Chelsea
Egypt,Arsenal,Stoke City,Manchester United
Eritrea,Arsenal,Manchester United,Chelsea
Spain,Manchester United,Manchester City,Chelsea
Estonia,Liverpool,Arsenal,Manchester United
Ethiopia,Arsenal,Manchester United,Chelsea
Finland,Manchester United,Arsenal,Liverpool
Fiji,Manchester United,Chelsea,Liverpool
Falkland Islands (Islas Malvinas),Liverpool,Arsenal,Manchester United
France,Manchester United,Arsenal,Chelsea
Faroe Islands,Liverpool,Manchester United,Arsenal
Federated States of Micronesia,Leicester City,Tottenham Hotspur,AFC Bournemouth
Gabon,Manchester United,Chelsea,Manchester City
United Kingdom,Manchester United,Liverpool,Arsenal
Georgia,Manchester United,Liverpool,Chelsea
Guernsey,Manchester United,Liverpool,Arsenal
Ghana,Chelsea,Manchester United,Liverpool
Gibraltar,Manchester United,Liverpool,Arsenal
Guinea,Chelsea,Manchester United,Arsenal
Guadeloupe,Manchester United,Arsenal,Chelsea
The Gambia,Manchester United,Chelsea,Arsenal
Guinea-Bissau,Chelsea,Manchester United,Arsenal
Equatorial Guinea,Chelsea,Manchester United,Liverpool
Greece,Liverpool,Manchester United,Arsenal
Grenada,Manchester United,Chelsea,Arsenal
Greenland,Manchester United,Liverpool,Arsenal
Guatemala,Manchester City,Manchester United,Chelsea
French Guiana,Manchester United,Chelsea,Manchester City
Guam,Chelsea,Manchester United,Tottenham Hotspur
Guyana,Manchester United,Chelsea,Manchester City
Hong Kong,Manchester United,Arsenal,Liverpool
Honduras,Manchester United,Manchester City,Chelsea
Croatia,Manchester United,Arsenal,Chelsea
Haiti,Manchester City,Manchester United,Chelsea
Hungary,Manchester United,Arsenal,Chelsea
Indonesia,Manchester United,Chelsea,Arsenal
Isle of Man,Liverpool,Manchester United,Everton
India,Manchester United,Chelsea,Arsenal
Ireland,Manchester United,Liverpool,Arsenal
Iran,Manchester United,Chelsea,Arsenal
Iraq,Manchester United,Chelsea,Arsenal
Iceland,Manchester United,Liverpool,Arsenal
Israel,Manchester United,Arsenal,Chelsea
Italy,Chelsea,Manchester United,Manchester City
Jamaica,Manchester United,Chelsea,Arsenal
Jersey,Liverpool,Manchester United,Arsenal
Jordan,Manchester United,Chelsea,Arsenal
Japan,Arsenal,Manchester United,Manchester City
Kazakhstan,Arsenal,Manchester United,Chelsea
Kenya,Manchester United,Chelsea,Arsenal
Kyrgyzstan,Manchester United,Chelsea,Arsenal
Cambodia,Manchester United,Chelsea,Arsenal
Kiribati,Sunderland,Manchester United,AFC Bournemouth
Saint Kitts and Nevis,Manchester United,Chelsea,Arsenal
South Korea,Manchester United,Tottenham Hotspur,Liverpool
Kuwait,Manchester United,Chelsea,Arsenal
Laos,Manchester United,Liverpool,Chelsea
Lebanon,Manchester United,Chelsea,Arsenal
Liberia,Chelsea,Manchester United,Arsenal
Libya,Manchester United,Chelsea,Arsenal
Saint Lucia,Manchester United,Chelsea,Arsenal
Liechtenstein,Liverpool,Manchester United,Arsenal
Sri Lanka,Leicester City,Manchester United,Arsenal
Lesotho,Manchester United,Arsenal,Chelsea
Lithuania,Manchester United,Arsenal,Chelsea
Luxembourg,Manchester United,Arsenal,Chelsea
Latvia,Manchester United,Arsenal,Chelsea
Macau,Manchester United,Arsenal,Chelsea
Collectivity of Saint Martin,Manchester United,Chelsea,Liverpool
Morocco,Manchester United,Chelsea,Manchester City
Monaco,Manchester City,Manchester United,Chelsea
Moldova,Manchester United,Chelsea,Arsenal
Madagascar,Manchester United,Chelsea,Manchester City
Maldives,Manchester United,Chelsea,Arsenal
Mexico,Liverpool,Manchester United,Manchester City
Macedonia (FYROM),Manchester United,Arsenal,Chelsea
Mali,Chelsea,Manchester United,Liverpool
Malta,Manchester United,Liverpool,Chelsea
Myanmar (Burma),Manchester United,Arsenal,Chelsea
Montenegro,Manchester United,Arsenal,Liverpool
Mongolia,Chelsea,Manchester United,Liverpool
Northern Mariana Islands,Tottenham Hotspur,Manchester United,Arsenal
Mozambique,Manchester United,Chelsea,Manchester City
Mauritania,Manchester United,Chelsea,Arsenal
Montserrat,Tottenham Hotspur,Manchester United,Chelsea
Martinique,Manchester United,Arsenal,Chelsea
Mauritius,Manchester United,Liverpool,Arsenal
Malawi,Manchester United,Arsenal,Chelsea
Malaysia,Manchester United,Liverpool,Arsenal
Mayotte,Manchester United,Arsenal,Chelsea
Namibia,Manchester United,Arsenal,Chelsea
New Caledonia,Arsenal,Manchester United,Chelsea
Niger,Chelsea,Manchester United,Arsenal
Nigeria,Manchester United,Chelsea,Arsenal
Nicaragua,Manchester United,Manchester City,Chelsea
Netherlands,Manchester United,Chelsea,Arsenal
Norway,Liverpool,Manchester United,Arsenal
Nepal,Manchester United,Chelsea,Manchester City
New Zealand,Manchester United,Chelsea,Liverpool
Oman,Manchester United,Chelsea,Arsenal
Pakistan,Manchester United,Arsenal,Chelsea
Panama,Manchester United,Manchester City,Chelsea
Peru,Manchester United,Manchester City,Chelsea
Philippines,Tottenham Hotspur,Manchester United,Chelsea
Papua New Guinea,Manchester United,Liverpool,Arsenal
Poland,Manchester United,Arsenal,Chelsea
Puerto Rico,Manchester United,Chelsea,Arsenal
North Korea,Manchester United,Manchester City,Chelsea
Portugal,Manchester United,Chelsea,Manchester City
Paraguay,Manchester United,Manchester City,Arsenal
Palestine,Manchester United,Arsenal,AFC Bournemouth
French Polynesia,Manchester United,Arsenal,Manchester City
Qatar,Manchester United,Arsenal,Chelsea
Reunion,Arsenal,Manchester United,Chelsea
Romania,Manchester City,Manchester United,Liverpool
Russia,Manchester United,Arsenal,Chelsea
Rwanda,Manchester United,Arsenal,Chelsea
Saudi Arabia,Manchester United,Chelsea,Arsenal
Sudan,Arsenal,Manchester United,Chelsea
Senegal,Manchester United,Chelsea,Liverpool
Singapore,Manchester United,Liverpool,Arsenal
Saint Helena Ascension and Tristan da Cunha,Manchester United,Arsenal,Chelsea
Svalbard and Jan Mayen,Liverpool,Manchester United,AFC Bournemouth
Solomon Islands,Manchester United,Chelsea,Manchester City
Sierra Leone,Manchester United,Arsenal,Chelsea
El Salvador,Manchester City,Manchester United,Chelsea
San Marino,Manchester United,Chelsea,Manchester City
Somalia,Manchester United,Arsenal,Chelsea
Saint Pierre and Miquelon,Arsenal,Manchester United,Manchester City
Serbia,Manchester United,Arsenal,Liverpool
South Sudan,Manchester United,Arsenal,Chelsea
São Tomé and Príncipe,Arsenal,Manchester United,Manchester City
Suriname,Manchester United,Manchester City,Chelsea
Slovakia,Manchester United,Chelsea,Liverpool
Slovenia,Manchester United,Chelsea,Arsenal
Sweden,Manchester United,Arsenal,Liverpool
Swaziland,Manchester United,Arsenal,Liverpool
Sint Maarten,Manchester United,Chelsea,Manchester City
Seychelles,Manchester United,Liverpool,Chelsea
Syria,Manchester United,Chelsea,Liverpool
Turks and Caicos Islands,Manchester United,Liverpool,Chelsea
Chad,Chelsea,Manchester City,Manchester United
Togo,Chelsea,Manchester United,Arsenal
Thailand,Manchester United,Liverpool,Chelsea
Tajikistan,Chelsea,Manchester United,Arsenal
Turkmenistan,Manchester United,Chelsea,Arsenal
Timor-Leste,Manchester United,Chelsea,Manchester City
Tonga,Manchester United,Liverpool,Leicester City
Trinidad and Tobago,Manchester United,Chelsea,Arsenal
Tunisia,Manchester United,Chelsea,Manchester City
Turkey,Manchester United,Arsenal,Chelsea
Taiwan,Manchester United,Sunderland,Chelsea
Tanzania,Manchester United,Chelsea,Arsenal
Uganda,Manchester United,Arsenal,Chelsea
Ukraine,Manchester United,Arsenal,Chelsea
Uruguay,Liverpool,Manchester United,Manchester City
United States,Chelsea,Manchester United,Arsenal
Uzbekistan,Manchester United,Chelsea,Arsenal
Saint Vincent and the Grenadines,Manchester United,Chelsea,Arsenal
Venezuela,Manchester United,Manchester City,Chelsea
British Virgin Islands,Manchester United,Chelsea,Arsenal
U.S. Virgin Islands,Manchester United,Chelsea,Arsenal
Vietnam,Manchester United,Chelsea,Arsenal
Vanuatu,Manchester United,Chelsea,Manchester City
Samoa,Manchester United,Liverpool,Everton
Kosovo,Manchester United,Arsenal,Liverpool
Yemen,Manchester United,Arsenal,Chelsea
South Africa,Manchester United,Liverpool,Arsenal
Zambia,Manchester United,Chelsea,Arsenal
Zimbabwe,Manchester United,Chelsea,Arsenal
