"Country searches on May 30, 2015, FA Cup Final day",,,
country,"Arsenal (indexed, 1-100)",Aston Villa (indexed 1-100),Team
Finland,2.193882705,0.398887786,Arsenal
Uruguay,2.192727001,1.096363477,Arsenal
Syria,2.141150708,0,Arsenal
Chile,2.019288202,0.757233081,Arsenal
Macedonia,1.988785225,3.977570496,Aston Villa
Lithuania,1.936858982,0.645619645,Arsenal
Belgium,1.917828582,1.211260182,Arsenal
Costa Rica,1.795874295,1.346905733,Arsenal
Paraguay,1.751261645,0,Arsenal
Oman,1.71711616,0.85855808,Arsenal
Ghana,1.643408633,4.930225945,Aston Villa
Senegal,1.637444301,0,Arsenal
Japan,1.631549226,0.774294562,Arsenal
Bolivia,1.624503891,0.541501297,Arsenal
Kuwait,1.623544606,1.082363086,Arsenal
Mexico,1.612335124,1.147763999,Arsenal
Kosovo,1.528543085,0,Arsenal
Serbia,1.478991548,1.478991548,Arsenal
Croatia,1.469417132,2.938834264,Aston Villa
Georgia,1.453756385,0.726878192,Arsenal
Brazil,1.416038635,0.893616585,Arsenal
Tanzania,1.411766567,0.705883283,Arsenal
Reunion,1.410747877,2.821495801,Aston Villa
Germany,1.385327087,0.68488082,Arsenal
Hungary,1.342724038,0.767270859,Arsenal
Denmark,1.321242448,1.651553036,Aston Villa
Guatemala,1.277366294,0.851577545,Arsenal
Poland,1.242630664,0.388322082,Arsenal
Ethiopia,1.223982777,1.223982777,Arsenal
Belarus,1.199453047,0,Arsenal
Austria,1.192418035,0.149052231,Arsenal
Norway,1.192074702,2.781507654,Aston Villa
Thailand,1.134882195,0.635534054,Arsenal
Jordan,0.990251481,0,Arsenal
Sri Lanka,0.966217302,0.483108651,Arsenal
South Korea,0.962412301,0.962412301,Arsenal
Indonesia,0.940611027,0.619948195,Arsenal
Saudi Arabia,0.888497188,0.222124285,Arsenal
Russia,0.85997899,0.295617798,Arsenal
Netherlands,0.819918536,1.749159512,Aston Villa
Pakistan,0.791722368,0.615784048,Arsenal
Colombia,0.783429173,0.652857644,Arsenal
El Salvador,0.748395538,1.496791075,Aston Villa
Peru,0.691125515,0.592393271,Arsenal
Kazakhstan,0.672989224,0,Arsenal
Sweden,0.605721825,1.384506974,Aston Villa
Czech Republic,0.605671758,0.605671758,Arsenal
Venezuela,0.594012336,1.306827167,Aston Villa
India,0.581418872,0.330807264,Arsenal
Iran,0.569972948,0.633303259,Aston Villa
Algeria,0.564815403,0.282407678,Arsenal
Ukraine,0.544843829,0.272421891,Arsenal
Turkey,0.533334699,0.723811378,Aston Villa
Azerbaijan,0.49154618,0.983092312,Aston Villa
Egypt,0.452473634,0.226236817,Arsenal
Bangladesh,0.442407844,0.294938594,Arsenal
Ecuador,0.441659428,0.441659428,Arsenal
Vietnam,0.403453027,0.248278757,Arsenal
Morocco,0.389508661,0.259672456,Arsenal
Tunisia,0.380470007,0.380470007,Arsenal
