"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Frederikssund (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.43,0.00,0.00,0.64,0.21,0.00,0.21,0.00,0.00
Vipperød (Region Zealand Denmark),Søren Pape Poulsen,0.18,0.00,0.36,0.00,0.00,0.18,0.18,0.36,0.00,0.00
Vordingborg (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.54,0.00,0.00,0.18,0.18,0.00,0.18,0.00,0.18
Viby Sj (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dragør (Capital Region of Denmark Denmark),Kristian Thulesen Dahl,1.25,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00
Neksø (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maribo (Region Zealand Denmark),Morten Østergaard,0.00,0.00,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.00
Aabenraa (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.21,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Aalborg (North Denmark Region Denmark),Helle Thorning-Schmidt,0.05,0.36,0.09,0.08,0.17,0.05,0.11,0.16,0.00,0.19
Aalestrup Municipality (North Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00
Aarhus (Central Denmark Region Denmark),Kristian Thulesen Dahl,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00
Aars (North Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00
Ansager (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.16,0.00,0.00,0.16,0.00,0.16,0.16,0.00,0.00
Årslev (Southern Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.00,0.00
Assens (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aulum (Central Denmark Region Denmark),Anders Samuelsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48
Bagsværd (Capital Region of Denmark Denmark),Johanne Schmidt-Nielsen,0.00,0.22,0.00,0.00,0.22,0.00,0.00,0.43,0.00,0.00
Ballerup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.19,0.09,0.00,0.09,0.19,0.00,0.19,0.00,0.00
Beder (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00
Birkerød (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.14,0.72,0.00,0.00,0.29,0.00,0.14,0.14,0.00,0.14
Bjerringbro (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00
Bogense (Southern Denmark Region Denmark),Pia Olsen Dyhr,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00
Borkop (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bramming (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.59,0.00,0.00,0.59,0.00,0.59,0.00,0.00,0.00
Bredsten (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,3.19,0.00,0.00,0.00,0.00,0.00
Brondby Strand (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.29,0.59,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00
Bronderslev (North Denmark Region Denmark),Søren Pape Poulsen,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00
Brovst (North Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.46,0.00,0.00,0.46,0.46,0.00,0.46,0.00,0.00
Charlottenlund (Capital Region of Denmark Denmark),Johanne Schmidt-Nielsen,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00
Copenhagen (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.08,0.36,0.06,0.06,0.27,0.09,0.14,0.19,0.00,0.09
Dybvad (North Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.69,0.00,0.69,0.69,0.00,0.69,0.00,0.00,0.00
Ebeltoft (Central Denmark Region Denmark),Anders Samuelsen,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.73
Ega (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.27,0.54,0.00,0.00,0.27,0.27,0.00,0.00,0.00,0.00
Ejby Municipality (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,7.73,0.00,0.00,3.87,0.00,0.00,0.00,0.00,0.00
Esbjerg (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,1.05,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Espergaerde (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,1.27,0.00,1.27,1.27,0.00,1.27,0.00,0.00,0.00
Faaborg (Southern Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00
Farsø (North Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.00,0.00
