players name,rate of growth in %,search interest season 16/17,search interest season 15/16,Team
Felix Platte,-28,0.1,0.2,SV Darmstadt 98
Oscar Wendt,-30,0.2,0.3,Bor. Mönchengladbach
Franck Ribéry,-30,4.4,6.3,Bayern München
Maximilian Eggestein,-31,0.3,0.5,Werder Bremen
Sven Schipplock,-32,0.2,0.2,SV Darmstadt 98
Kevin Kampl,-32,0.8,1.1,Bayer Leverkusen
Charles Aránguiz,-32,0.2,0.3,Bayer Leverkusen
Javier Hernández,-33,1.4,2.1,Bayer Leverkusen
Moritz Leitner,-33,0.4,0.6,FC Augsburg
Julian Baumgartlinger,-33,0.2,0.4,Bayer Leverkusen
Mikel Merino,-34,0.3,0.4,Borussia Dortmund
Mats Hummels,-34,11.6,17.7,Bayern München
Aaron Hunt,-35,0.4,0.6,Hamburger SV
Christian Träsch,-36,0.2,0.3,VfL Wolfsburg
Erik Durm,-37,1.0,1.5,Borussia Dortmund
Thomas Kraft,-37,0.2,0.3,Hertha BSC
Marco Höger,-38,0.3,0.4,1. FC Köln
Roberto Hilbert,-39,0.1,0.2,Bayer Leverkusen
Paul Verhaegh,-39,0.1,0.2,FC Augsburg
Douglas Costa,-39,1.8,3.0,Bayern München
Mario Götze,-40,15.7,25.9,Borussia Dortmund
Nils Petersen,-40,0.5,0.9,SC Freiburg
Marc Stendera,-40,0.3,0.5,Eintracht Frankfurt
Alessandro Schöpf,-40,0.2,0.3,FC Schalke 04
Benedikt Höwedes,-41,1.1,1.9,FC Schalke 04
Alexander Meier,-41,1.0,1.8,Eintracht Frankfurt
Robert Lewandowski,-42,10.5,18.0,Bayern München
Joshua Kimmich,-42,5.9,10.0,Bayern München
Lars Bender,-42,0.7,1.3,Bayer Leverkusen
Abdul Rahman Baba,-42,0.1,0.2,FC Schalke 04
David Alaba,-42,2.5,4.3,Bayern München
Jonas Hofmann,-42,0.3,0.5,Bor. Mönchengladbach
Jannik Vestergaard,-44,0.4,0.7,Bor. Mönchengladbach
André Schürrle,-44,2.8,5.1,Borussia Dortmund
Yunus Mallı,-44,0.4,0.7,VfL Wolfsburg
Albin Ekdal,-45,0.2,0.3,Hamburger SV
Tin Jedvaj,-45,0.2,0.3,Bayer Leverkusen
Lukas Hinterseer,-45,0.1,0.2,FC Ingolstadt 04
Ricardo Rodríguez,-46,0.3,0.5,VfL Wolfsburg
Yann Sommer,-46,0.6,1.2,Bor. Mönchengladbach
Haris Seferović,-47,0.4,0.7,Eintracht Frankfurt
Zlatko Junuzović,-47,0.3,0.6,Werder Bremen
Aytaç Sulu,-48,0.2,0.3,SV Darmstadt 98
Josip Drmić,-49,0.3,0.6,Bor. Mönchengladbach
Matthias Ginter,-49,0.5,1.0,Borussia Dortmund
Admir Mehmedi,-50,0.2,0.5,Bayer Leverkusen
Lukas Rupp,-50,0.2,0.3,1899 Hoffenheim
Diego Benaglio,-53,0.3,0.6,VfL Wolfsburg
Ádám Szalai,-55,0.2,0.4,1899 Hoffenheim
Jérôme Boateng,-56,8.1,18.1,Bayern München
Jonathan Tah,-56,0.6,1.3,Bayer Leverkusen
Renato Sanches,-58,1.2,2.9,Bayern München
Marcel Heller,-61,0.1,0.3,SV Darmstadt 98
Vieirinha,-61,0.1,0.3,VfL Wolfsburg
Artjoms Rudņevs,-63,0.2,0.5,1. FC Köln
Marwin Hitz,-65,0.1,0.4,FC Augsburg
Johannes Geis,-67,0.3,0.8,FC Schalke 04
Claudio Pizarro,-67,0.6,1.9,Werder Bremen
Kingsley Coman,-67,1.4,4.2,Bayern München
Marco Russ,-68,0.8,2.6,Eintracht Frankfurt
Mario Gomez,-69,2.6,8.3,VfL Wolfsburg
André Hahn,-71,0.4,1.5,Bor. Mönchengladbach
Filip Kostić,-72,0.3,1.1,Hamburger SV
Max Kruse,-73,2.4,8.7,Werder Bremen
Jakub Błaszczykowski,-74,0.6,2.3,VfL Wolfsburg
Jonas Hector,-78,0.9,4.0,1. FC Köln
