Suchinteresse nach Kernenergie in Deutschland nach Landkreis,,
13. April 2022 bis 12. April 2023,,
Landkreis_Code,Landkreis_Name,Indexwert
9576,Roth,42.9
9577,Weißenburg-Gunzenhausen,29.9
9661,Aschaffenburg,41.7
9662,Schweinfurt,62.8
9663,Würzburg,71.4
9671,Aschaffenburg,53.7
9672,Bad Kissingen,43.1
9673,Rhön-Grabfeld,37.8
9674,Haßberge,38.2
9675,Kitzingen,56.4
9676,Miltenberg,100
9677,Main-Spessart,50.5
9678,Schweinfurt,40.4
9679,Würzburg,38.4
9761,Augsburg,40.4
9762,Kaufbeuren,51
9763,Kempten (Allgäu),69.4
9764,Memmingen,26.7
9771,Aichach-Friedberg,46
9772,Augsburg,38.5
9773,Dillingen a.d. Donau,15.2
9774,Günzburg,39
9775,Neu-Ulm,38.2
9776,Lindau (Bodensee),40.4
9777,Ostallgäu,43.8
9778,Unterallgäu,36.4
9779,Donau-Ries,33.4
9780,Oberallgäu,32.6
10041,Regionalverband Saarbrücken,36.5
10042,Merzig-Wadern,43.4
10043,Neunkirchen,24.8
10044,Saarlouis,30.5
10045,Saarpfalz-Kreis,27.3
10046,St. Wendel,52.8
11000,Berlin,60.6
12051,Brandenburg an der Havel,24.6
12052,Cottbus,40.3
12053,Frankfurt (Oder),71.5
12054,Potsdam,56.9
12060,Barnim,42.7
12061,Dahme-Spreewald,22.7
12062,Elbe-Elster,33.7
12063,Havelland,30.1
12064,Märkisch-Oderland,37.6
12065,Oberhavel,30.2
12066,Oberspreewald-Lausitz,37.1
12067,Oder-Spree,37
12068,Ostprignitz-Ruppin,24.8
12069,Potsdam-Mittelmark,44.3
12070,Prignitz,51.2
12071,Spree-Neiße,24.2
12072,Teltow-Fläming,30
12073,Uckermark,32.3
13003,Rostock,37.7
13004,Schwerin,32.1
13071,Mecklenburgische Seenplatte,31.1
13072,Rostock,25.3
13073,Vorpommern-Rügen,41
13074,Nordwestmecklenburg,24.1
13075,Vorpommern-Greifswald,57.6
13076,Ludwigslust-Parchim,33.8
14511,Chemnitz,49.7
14521,Erzgebirgskreis,26.2
14522,Mittelsachsen,31.9
14523,Vogtlandkreis,38.7
14524,Zwickau,36.9
14612,Dresden,58.6
14625,Bautzen,34.7
14626,Görlitz,46
14627,Meißen,44.8
14628,Sächsische Schweiz-Osterzgebirge,38.2
