"Search interest in news events in the US between January 1, 2017 and September 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Values have been indexed to 100 for each news event, where 100 is the maximum search interest ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inauguration crowd sizes,Womenâ€™s march,Travel ban + protests,Sally Yates fired,Michael Flynn quits,Trumpâ€™s speech to Congress,Session recuses himself from Russia probe,Wiretapping tweet,Bannon removed from National Security Council,Syria airstrike,Gorsuch confirmed,Trump and Xi eating â€œbeautiful chocolate cakeâ€ù during Syria bombing Trump told Fox,MOAB dropped,Trump doesnâ€™t attend White House Correspondents dinner,House healthcare bill passes,Robert Mueller appointed to oversee Russia investigation,James Comey fired,Trump leaks info to Russians,â€œCovfefeâ€ù tweet,Leaves the Paris Accord,James Comeyâ€™s testimony,Jeff Sessionsâ€™ testimony,Paul Manafort files as a foreign agent,Mitch McConnel delays health care vote,Trump tweets at Mika from Morning Joe,Trump and Putin meet for the first time,Trump tower meeting leaks,Don Jr tweeted his email about the Trump Tower meeting,Sean Spicer out,Scaramucci hired/ouster,Health care bill fails,Reince Priebus fired,Transgender military ban,Trump on North Korea threat,Charlottesville,Bannon ouster,Afghanistan troops announcement,Trump looks at the sun during the eclipse,Pardoning of Joe Arpaio,DACA announcement
May 23 2017,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,5,0,0,0
May 24 2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,20,1,8,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,2,1,4,0,0,0
May 25 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,10,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,8,0,0,0
May 26 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,0,5,0,0,0
May 27 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,9,0,0,0
May 28 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,4,2,0,9,1,0,0
May 29 2017,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,0,13,0,0,0
May 30 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0,5,0,0,0,0,5,2,1,5,1,0,0
May 31 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,100,26,1,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,7,0,0,0
Jun 1 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,88,100,1,0,0,0,0,0,0,14,2,0,0,0,0,5,2,0,9,1,0,0
Jun 2 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,34,81,1,0,0,0,0,1,0,0,3,0,0,0,0,4,2,0,7,0,0,0
Jun 3 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,22,36,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0
Jun 4 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,18,1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,6,0,0,0
Jun 5 2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8,10,3,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,6,0,0,0
Jun 6 2017,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,1,11,6,6,8,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0
Jun 7 2017,0,0,0,0,1,0,6,0,0,0,0,3,0,0,2,0,5,7,4,6,20,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0
Jun 8 2017,0,0,0,0,6,0,5,0,0,0,0,3,0,0,2,20,13,7,4,3,100,1,0,0,0,0,0,24,2,0,0,0,0,4,2,0,6,0,0,0
Jun 9 2017,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,28,6,0,3,3,21,0,0,0,0,0,0,11,0,0,0,0,0,3,2,0,7,0,0,0
Jun 10 2017,0,0,0,0,1,0,3,0,0,0,0,0,0,3,1,25,2,0,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,9,0,0,0
Jun 11 2017,0,0,0,0,1,0,5,0,0,0,0,6,0,0,1,25,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,23,0,0,0
Jun 12 2017,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,4,2,0,7,0,0,0
Jun 13 2017,0,0,0,0,1,0,14,0,0,0,0,0,0,0,3,20,2,0,3,1,1,100,0,0,0,0,0,7,2,0,0,4,0,5,2,0,7,0,0,0
Jun 14 2017,0,0,0,0,1,0,6,0,0,0,0,0,0,0,3,0,1,0,2,1,1,14,0,0,0,0,0,0,1,0,0,0,0,4,2,0,7,0,0,0
Jun 15 2017,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,28,2,0,1,2,0,2,0,0,0,0,0,7,2,0,0,0,0,5,2,0,8,1,0,0
Jun 16 2017,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,21,2,10,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,4,2,0,24,0,0,8
Jun 17 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,10,0,0,0
Jun 18 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,7,0,0,0
Jun 19 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,6,0,0,0
Jun 20 2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,0,0,0,10,2,0,5,0,0,0
Jun 21 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,16,6,0,0,0,0,7,2,0,6,0,0,0
Jun 22 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,6,0,0,0
Jun 23 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,5,1,0,0
Jun 24 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,4,0,0,0
Jun 25 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,7,0,0,0
Jun 26 2017,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0
Jun 27 2017,1,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,2,0,4,0,0,0
Jun 28 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,81,0,0,0,0,0,3,0,0,0,0,3,2,0,7,0,0,0
Jun 29 2017,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,35,0,96,2,0,0,3,0,0,0,0,4,2,0,4,0,0,0
Jun 30 2017,0,0,2,0,2,0,0,0,0,0,0,4,0,3,3,0,0,0,1,1,0,0,0,0,100,3,0,0,4,0,0,0,0,6,2,0,0,1,0,9
Jul 1 2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,29,3,0,0,0,0,0,0,1,5,2,0,6,0,0,10
Jul 2 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,12,5,0,0,2,0,0,0,0,4,2,0,6,0,0,0
Jul 3 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,4,8,0,0,2,0,0,0,0,5,2,0,0,0,0,0
Jul 4 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,13,0,0,2,0,0,0,0,15,2,0,0,1,0,0
Jul 5 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,16,2,0,5,0,0,0
Jul 6 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,19,0,7,0,0,0,0,0,16,2,0,4,1,0,0
Jul 7 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,8,2,0,0,0,0,0
Jul 8 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,67,0,0,0,0,0,0,0,7,3,0,4,0,0,0
Jul 9 2017,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,27,0,13,0,0,0,0,0,6,3,0,0,0,0,0
Jul 10 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,0,0,0,0,2,10,0,19,2,0,0,0,0,5,2,0,4,1,0,0
Jul 11 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,1,0,0,0,0,0,5,80,100,3,0,0,0,0,3,2,0,0,0,0,0
Jul 12 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,3,100,96,2,0,0,0,0,4,2,0,0,0,0,0
Jul 13 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,43,2,0,0,0,0,3,2,0,4,1,0,0
Jul 14 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,16,2,0,0,0,1,4,2,0,4,1,0,9
Jul 15 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,1,3,2,0,0,0,0,0
Jul 16 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,14,2,0,0,0,0,3,2,0,5,0,0,0
Jul 17 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Jul 18 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,61,0,0,0,0,0,0,2,2,0,8,0,0,0
Jul 19 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,47,0,7,2,0,0,0,0,3,2,0,0,0,0,0
Jul 20 2017,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6,21,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Jul 21 2017,1,0,0,0,0,0,8,0,0,0,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,4,0,0,100,9,0,0,0,3,2,0,4,1,0,0
Jul 22 2017,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,43,2,0,0,0,3,2,1,4,1,0,0
Jul 23 2017,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,13,3,0,0,0,3,2,0,6,1,0,0
Jul 24 2017,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,3,2,0,4,0,0,0
Jul 25 2017,0,0,0,0,0,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,2,0,9,1,0,0
Jul 26 2017,0,0,0,0,0,0,13,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,3,4,87,5,98,4,2,0,6,1,0,0
Jul 27 2017,1,0,0,0,0,0,7,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,0,4,100,7,2,0,0,1,0,0
Jul 28 2017,0,0,0,1,0,0,3,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,68,0,1,0,0,3,10,100,100,36,10,2,2,4,1,0,0
Jul 29 2017,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,100,0,0,0,0,4,7,0,59,19,11,2,2,5,1,0,0
Jul 30 2017,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,17,12,13,2,0,6,2,0,0
Jul 31 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,7,3,100,0,21,7,12,2,1,4,1,0,0
Aug 1 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,38,0,15,4,8,2,2,0,1,1,0
Aug 2 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,5,3,8,2,1,7,1,0,0
Aug 3 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,6,2,0,10,1,0,0
Aug 4 2017,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,59,0,0,0,1,0,0,0,0,0,0,0,7,0,4,0,0,2,5,2,0,5,2,0,0
Aug 5 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,4,2,0,6,2,0,0
Aug 6 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,2,6,2,0,5,1,0,0
Aug 7 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,2,0,5,1,0,0
Aug 8 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,44,2,0,7,2,0,0
Aug 9 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,100,2,0,4,2,0,0
Aug 10 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,73,2,0,4,2,0,0
Aug 11 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,66,3,0,0,2,0,0
Aug 12 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,51,62,1,7,4,0,0
Aug 13 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,34,100,2,5,2,0,0
Aug 14 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,23,53,2,10,4,3,0
Aug 15 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,23,36,3,0,6,5,0
Aug 16 2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,18,39,1,4,9,2,0
Aug 17 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,26,3,6,9,2,0
Aug 18 2017,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,11,19,100,9,13,2,0
Aug 19 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,1,9,14,40,4,15,2,0
Aug 20 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,9,9,10,5,18,2,0
Aug 21 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,5,32,100,2,0
Aug 22 2017,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,100,61,7,0
Aug 23 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,2,41,13,17,0
Aug 24 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,4,1,18,6,9,0
Aug 25 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,1,14,5,4,15
Aug 26 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,2,9,3,100,14
Aug 27 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,6,2,35,9
Aug 28 2017,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,11,1,26,12
Aug 29 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,3,0,7,1,19,15
Aug 30 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,0,7,1,15,14
Aug 31 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,3,0,16,1,14,59
Sep 1 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,7,1,4,100
