"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Kirovohrad,Kirovohrads'ka oblast,Ukraine,11.49
Xanthi ,,Greece,11.49
Patra ,,Greece,11.47
Visby,Gotland,Sweden,11.46
Tolyatti,Samara Oblast,Russia,11.46
Saint Helens,England,United Kingdom,11.45
Edinburgh,Scotland,United Kingdom,11.44
Petah Tikva,Central District,Israel,11.44
Växjö,Kronoberg County,Sweden,11.36
Ängelholm,Skåne County,Sweden,11.32
Kontokali ,,Greece,11.29
Kaluga,Kaluga Oblast,Russia,11.28
Elektrostal,Moskovskaya oblast,Russia,11.25
Tallinn,Harju County,Estonia,11.24
Perranporth,England,United Kingdom,11.23
Volos ,,Greece,11.21
Krasnodar,Krasnodar Krai,Russia,11.21
Herne,Flanders,Belgium,11.18
Worcester,England,United Kingdom,11.14
Lørenskog,Akershus,Norway,11.04
Kennington,England,United Kingdom,11.04
Poltava,Poltavs'ka oblast,Ukraine,11.02
Belgorod,Belgorod Oblast,Russia,10.98
London,England,United Kingdom,10.97
Bishop's Stortford,England,United Kingdom,10.94
Eversley,England,United Kingdom,10.92
Makhachkala,Dagestan,Russia,10.91
Larnaca,Larnaca,Cyprus,10.87
Oostende,Flanders,Belgium,10.85
Staffanstorp,Skåne County,Sweden,10.83
Prokopyevsk,Kemerovo Oblast,Russia,10.81
Shipton Bellinger,England,United Kingdom,10.80
Jabbeke,Flanders,Belgium,10.79
Novy Urengoy,Yamalo-Nenets Autonomous Okrug,Russia,10.76
Kristianstad,Skåne County,Sweden,10.76
Skopje ),,Macedonia (FYROM,10.76
Englefield Green,England,United Kingdom,10.74
Blagoveshchensk,Amur Oblast,Russia,10.73
Tiptree,England,United Kingdom,10.71
Voronezh,Voronezh Oblast,Russia,10.69
Southam,England,United Kingdom,10.68
Gateshead,England,United Kingdom,10.68
Kilsby,England,United Kingdom,10.66
Sterlitamak,Republic of Bashkortostan,Russia,10.60
Cowbridge,Wales,United Kingdom,10.60
Cardiff,Wales,United Kingdom,10.60
Zaventem,Flanders,Belgium,10.57
Nizhny Novgorod,Nizhny Novgorod Oblast,Russia,10.55
Taganrog,Rostov Oblast,Russia,10.51
New Buildings,Northern Ireland,United Kingdom,10.50
Glasgow,Scotland,United Kingdom,10.49
Saratov,Saratov Oblast,Russia,10.47
Skellefteå,Västerbotten County,Sweden,10.47
Manchester,England,United Kingdom,10.45
Nikopol',Dnipropetrovsk Oblast,Ukraine,10.44
Cheboksary,Chuvashia,Russia,10.43
Gent,Flanders,Belgium,10.43
Cookham,England,United Kingdom,10.40
Athens ,,Greece,10.38
Haaltert,Flanders,Belgium,10.38
Achinsk,Krasnoyarsk Krai,Russia,10.38
Isleham,England,United Kingdom,10.34
Gibraltar ,,Gibraltar,10.34
Samara,Samara Oblast,Russia,10.30
Korolyov,Moskovskaya oblast,Russia,10.29
Omsk,Omsk Oblast,Russia,10.24
Douglas ,,Isle of Man,10.23
Castlebar ,,Ireland,10.23
Mitilini ,,Greece,10.23
Reading,England,United Kingdom,10.22
Oulu,Northern Ostrobothnia,Finland,10.21
Kortrijk,Flanders,Belgium,10.17
Netanya,Central District,Israel,10.17
Vilvoorde,Flanders,Belgium,10.15
Guildford,England,United Kingdom,10.12
Chesterfield,England,United Kingdom,10.12
Stavropol,Stavropol Krai,Russia,10.10
Mostar,BA-BIH,Bosnia and Herzegovina,10.07
Bilzen,Flanders,Belgium,10.06
Peterborough,England,United Kingdom,10.06
Yakutsk,Sakha,Russia,10.04
Bristol,England,United Kingdom,9.92
Komsomolsk-on-Amur,Khabarovsk Krai,Russia,9.92
Norwich,England,United Kingdom,9.90
Antwerpen,Flanders,Belgium,9.90
Lipetsk,Lipetsk Oblast,Russia,9.86
Portsmouth,England,United Kingdom,9.85
Salford,England,United Kingdom,9.82
Saint Petersburg,Saint Petersburg,Russia,9.80
Coventry,England,United Kingdom,9.79
Zheleznodorozhny,Moskovskaya oblast,Russia,9.78
Paisley,Scotland,United Kingdom,9.75
Leeds,England,United Kingdom,9.74
Holon,Tel Aviv District,Israel,9.72
Obninsk,Kaluga Oblast,Russia,9.68
Harrow,England,United Kingdom,9.68
Chelyabinsk,Chelyabinsk Oblast,Russia,9.66
Worthing,England,United Kingdom,9.65
Belfast,Northern Ireland,United Kingdom,9.63
Tampere,Pirkanmaa,Finland,9.58
Olgino,Saint Petersburg,Russia,9.57
