"Top searched candidate by county, 11/14/15 to 11/18/15",,,
FIPS,County,State,Top Democrat
27021,Cass,Minnesota,Hillary Clinton
29037,Cass,Missouri,Bernie Sanders
31025,Cass,Nebraska,Bernie Sanders
38017,Cass,North Dakota,Bernie Sanders
48067,Cass,Texas,Hillary Clinton
16031,Cassia,Idaho,Hillary Clinton
48069,Castro,Texas,Hillary Clinton
37033,Caswell,North Carolina,Hillary Clinton
37035,Catawba,North Carolina,Hillary Clinton
13047,Catoosa,Georgia,Bernie Sanders
36009,Cattaraugus,New York,Hillary Clinton
38019,Cavalier,North Dakota,Bernie Sanders
36011,Cayuga,New York,Hillary Clinton
24015,Cecil,Maryland,Bernie Sanders
19031,Cedar,Iowa,Hillary Clinton
29039,Cedar,Missouri,Hillary Clinton
31027,Cedar,Nebraska,Bernie Sanders
42027,Centre,Pennsylvania,Bernie Sanders
19033,Cerro Gordo,Iowa,Bernie Sanders
8015,Chaffee,Colorado,Bernie Sanders
1017,Chambers,Alabama,Hillary Clinton
48071,Chambers,Texas,Bernie Sanders
17019,Champaign,Illinois,Bernie Sanders
39021,Champaign,Ohio,Bernie Sanders
29041,Chariton,Missouri,Bernie Sanders
24017,Charles,Maryland,Hillary Clinton
51036,Charles City,Virginia,Hillary Clinton
46023,Charles Mix,South Dakota,Bernie Sanders
45019,Charleston,South Carolina,Bernie Sanders
26029,Charlevoix,Michigan,Bernie Sanders
12015,Charlotte,Florida,Hillary Clinton
51037,Charlotte,Virginia,Bernie Sanders
51540,Charlottesville City,Virginia,Bernie Sanders
13049,Charlton,Georgia,Bernie Sanders
20017,Chase,Kansas,Bernie Sanders
31029,Chase,Nebraska,Hillary Clinton
13051,Chatham,Georgia,Bernie Sanders
37037,Chatham,North Carolina,Bernie Sanders
13053,Chattahoochee,Georgia,Bernie Sanders
13055,Chattooga,Georgia,Bernie Sanders
20019,Chautauqua,Kansas,Hillary Clinton
36013,Chautauqua,New York,Bernie Sanders
35005,Chaves,New Mexico,Bernie Sanders
47021,Cheatham,Tennessee,Hillary Clinton
26031,Cheboygan,Michigan,Bernie Sanders
53007,Chelan,Washington,Bernie Sanders
36015,Chemung,New York,Bernie Sanders
36017,Chenango,New York,Hillary Clinton
1019,Cherokee,Alabama,Hillary Clinton
13057,Cherokee,Georgia,Bernie Sanders
19035,Cherokee,Iowa,Bernie Sanders
20021,Cherokee,Kansas,Bernie Sanders
37039,Cherokee,North Carolina,Hillary Clinton
40021,Cherokee,Oklahoma,Hillary Clinton
45021,Cherokee,South Carolina,Hillary Clinton
48073,Cherokee,Texas,Bernie Sanders
31031,Cherry,Nebraska,Hillary Clinton
51550,Chesapeake City,Virginia,Hillary Clinton
33005,Cheshire,New Hampshire,Bernie Sanders
42029,Chester,Pennsylvania,Bernie Sanders
45023,Chester,South Carolina,Bernie Sanders
45025,Chesterfield,South Carolina,Bernie Sanders
51041,Chesterfield,Virginia,Hillary Clinton
31033,Cheyenne,Nebraska,Hillary Clinton
19037,Chickasaw,Iowa,Bernie Sanders
28017,Chickasaw,Mississippi,Hillary Clinton
5017,Chicot,Arkansas,Bernie Sanders
48075,Childress,Texas,Bernie Sanders
1021,Chilton,Alabama,Hillary Clinton
26033,Chippewa,Michigan,Bernie Sanders
27023,Chippewa,Minnesota,Bernie Sanders
55017,Chippewa,Wisconsin,Hillary Clinton
27025,Chisago,Minnesota,Hillary Clinton
50007,Chittenden,Vermont,Bernie Sanders
1023,Choctaw,Alabama,Hillary Clinton
28019,Choctaw,Mississippi,Bernie Sanders
40023,Choctaw,Oklahoma,Hillary Clinton
30015,Chouteau,Montana,Bernie Sanders
37041,Chowan,North Carolina,Bernie Sanders
17021,Christian,Illinois,Bernie Sanders
21047,Christian,Kentucky,Hillary Clinton
29043,Christian,Missouri,Hillary Clinton
32001,Churchill,Nevada,Bernie Sanders
35006,Cibola,New Mexico,Hillary Clinton
12017,Citrus,Florida,Hillary Clinton
41005,Clackamas,Oregon,Bernie Sanders
22027,Claiborne,Louisiana,Bernie Sanders
28021,Claiborne,Mississippi,Hillary Clinton
47025,Claiborne,Tennessee,Hillary Clinton
53009,Clallam,Washington,Bernie Sanders
26035,Clare,Michigan,Bernie Sanders
45027,Clarendon,South Carolina,Hillary Clinton
42031,Clarion,Pennsylvania,Hillary Clinton
5019,Clark,Arkansas,Bernie Sanders
17023,Clark,Illinois,Bernie Sanders
18019,Clark,Indiana,Bernie Sanders
20025,Clark,Kansas,Martin O'Maley
21049,Clark,Kentucky,Hillary Clinton
29045,Clark,Missouri,Hillary Clinton
32003,Clark,Nevada,Hillary Clinton
39023,Clark,Ohio,Bernie Sanders
53011,Clark,Washington,Bernie Sanders
55019,Clark,Wisconsin,Hillary Clinton
1025,Clarke,Alabama,Hillary Clinton
13059,Clarke,Georgia,Bernie Sanders
19039,Clarke,Iowa,Hillary Clinton
51043,Clarke,Virginia,Hillary Clinton
41007,Clatsop,Oregon,Bernie Sanders
1027,Clay,Alabama,Bernie Sanders
5021,Clay,Arkansas,Bernie Sanders
12019,Clay,Florida,Hillary Clinton
17025,Clay,Illinois,Hillary Clinton
18021,Clay,Indiana,Bernie Sanders
19041,Clay,Iowa,Hillary Clinton
20027,Clay,Kansas,Hillary Clinton
21051,Clay,Kentucky,Bernie Sanders
27027,Clay,Minnesota,Hillary Clinton
28025,Clay,Mississippi,Hillary Clinton
29047,Clay,Missouri,Hillary Clinton
31035,Clay,Nebraska,Bernie Sanders
37043,Clay,North Carolina,Hillary Clinton
46027,Clay,South Dakota,Bernie Sanders
47027,Clay,Tennessee,Hillary Clinton
48077,Clay,Texas,Hillary Clinton
54015,Clay,West Virginia,Hillary Clinton
13063,Clayton,Georgia,Hillary Clinton
19043,Clayton,Iowa,Bernie Sanders
8019,Clear Creek,Colorado,Bernie Sanders
42033,Clearfield,Pennsylvania,Bernie Sanders
16035,Clearwater,Idaho,Bernie Sanders
27029,Clearwater,Minnesota,Bernie Sanders
1029,Cleburne,Alabama,Bernie Sanders
5023,Cleburne,Arkansas,Hillary Clinton
39025,Clermont,Ohio,Bernie Sanders
5025,Cleveland,Arkansas,Bernie Sanders
37045,Cleveland,North Carolina,Bernie Sanders
