county_code,countyname,state,Most Searched,Second Most Searched
8093,Park,Colorado,Donald Trump,Ted Cruz
8095,Phillips,Colorado,Donald Trump,Ted Cruz
8097,Pitkin,Colorado,Donald Trump,Jeb Bush
8099,Prowers,Colorado,Donald Trump,Ben Carson
8101,Pueblo,Colorado,Donald Trump,Jeb Bush
8103,Rio Blanco,Colorado,Donald Trump,Scott Walker
8105,Rio Grande,Colorado,Donald Trump,Mike Huckabee
8107,Routt,Colorado,Donald Trump,Chris Christie
8109,Saguache,Colorado,Ted Cruz,Donald Trump
8113,San Miguel,Colorado,Donald Trump,Lindsey Graham
8117,Summit,Colorado,Donald Trump,Jeb Bush
8119,Teller,Colorado,Donald Trump,Ted Cruz
8121,Washington,Colorado,Donald Trump,Bobby Jindal
8123,Weld,Colorado,Donald Trump,Ted Cruz
8125,Yuma,Colorado,Donald Trump,Jeb Bush
9001,Fairfield,Connecticut,Donald Trump,Jeb Bush
17039,Dewitt,Illinois,Donald Trump,Jeb Bush
9003,Hartford,Connecticut,Donald Trump,Jeb Bush
9005,Litchfield,Connecticut,Donald Trump,Jeb Bush
9007,Middlesex,Connecticut,Donald Trump,Jeb Bush
9009,New Haven,Connecticut,Donald Trump,Jeb Bush
11001,District of Columbia,District of Columbia,Donald Trump,Jeb Bush
9011,New London,Connecticut,Donald Trump,Jeb Bush
9013,Tolland,Connecticut,Donald Trump,Jeb Bush
9015,Windham,Connecticut,Donald Trump,Ted Cruz
10001,Kent,Delaware,Donald Trump,Jeb Bush
10003,New Castle,Delaware,Donald Trump,Jeb Bush
10005,Sussex,Delaware,Donald Trump,Chris Christie
12001,Alachua,Florida,Donald Trump,Ben Carson
12003,Baker,Florida,Donald Trump,Jeb Bush
12005,Bay,Florida,Donald Trump,Jeb Bush
12007,Bradford,Florida,Donald Trump,Scott Walker
12009,Brevard,Florida,Donald Trump,Jeb Bush
12013,Calhoun,Florida,Donald Trump,Marco Rubio
12015,Charlotte,Florida,Donald Trump,Ted Cruz
12017,Citrus,Florida,Donald Trump,Jeb Bush
12019,Clay,Florida,Donald Trump,Jeb Bush
12021,Collier,Florida,Donald Trump,Marco Rubio
12035,Flagler,Florida,Donald Trump,Jeb Bush
