"Indexed search interest of all Bundesliga 2017-18 teams by country, with the top three searched teams listed for each country. Data is from season beginning in August 2017, up to April 13, 2018.",,,,,,,,,,,,,,,,,,,,,
Country,Most searched,Second most searched,Third most searched,Bayer Leverkusen,Borussia Dortmund,Borussia Mönchengladbach,Eintracht Frankfurt,FC Augsburg,FC Bayern München,FC Köln,FC Schalke,FSV Mainz 05,Hamburger SV,Hannover 96,Hertha Berlin,RB Leipzig,SC Freiburg,SV Werder Bremen,TSG 1899 Hoffenheim,VfB Stuttgart,VfL Wolfsburg
Mali,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,2,18,1,0,0,100,0,1,0,1,0,0,1,0,1,1,0,1
Ghana,FC Bayern München,Borussia Dortmund,RB Leipzig,5,31,4,2,2,100,3,6,3,2,2,3,6,2,3,4,2,4
Macedonia,FC Bayern München,Borussia Dortmund,FC Schalke,7,47,4,2,2,100,4,10,2,3,1,3,4,1,4,4,3,4
Angola,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,8,57,3,1,2,100,2,3,1,1,1,2,5,2,2,2,0,4
Togo,FC Bayern München,Borussia Dortmund,FC Schalke,2,22,1,1,1,100,1,3,1,0,2,0,2,0,2,1,1,1
Cyprus,FC Bayern München,Borussia Dortmund,FC Schalke,10,61,8,4,2,100,5,16,3,5,2,6,8,2,6,5,3,7
Malta,FC Bayern München,Borussia Dortmund,FC Schalke,5,31,4,5,2,100,3,8,1,4,2,4,5,2,4,4,2,3
Albania,FC Bayern München,Borussia Dortmund,FC Schalke,4,27,3,1,1,100,2,6,1,2,1,2,3,1,2,3,1,3
Spain,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,12,67,8,4,2,100,3,10,2,5,2,4,6,2,4,3,3,5
Portugal,Borussia Dortmund,FC Bayern München,RB Leipzig,12,100,8,4,2,97,5,13,5,4,3,6,24,4,6,8,4,9
Montenegro,FC Bayern München,Borussia Dortmund,FC Schalke,12,55,7,4,2,100,5,15,3,6,1,6,2,2,6,7,4,9
Bolivia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,8,42,2,1,0,100,1,2,0,1,0,0,3,0,1,1,1,2
Russia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,16,46,8,4,1,100,2,13,2,3,1,5,2,2,5,5,2,5
Venezuela,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,14,49,6,2,2,100,2,8,3,1,1,3,6,1,2,3,1,5
Madagascar,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,3,35,1,1,1,100,1,2,1,0,1,1,3,1,2,1,1,1
Azerbaijan,FC Bayern München,Borussia Dortmund,FC Schalke,9,45,6,4,1,100,2,9,3,1,1,4,3,1,3,4,1,5
Malawi,FC Bayern München,Borussia Dortmund,FC Schalke,7,52,7,5,4,100,10,11,3,4,4,6,11,5,4,8,6,8
Switzerland,FC Bayern München,Borussia Dortmund,FC Schalke,4,69,10,6,4,100,4,14,2,12,2,5,6,10,7,4,9,5
Argentina,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,20,71,5,1,1,100,2,6,1,1,1,2,6,1,2,2,2,4
Uruguay,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,11,66,5,2,1,100,4,7,2,1,1,2,6,1,3,3,1,4
Mauritania,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,3,28,2,0,0,100,0,2,0,0,0,1,0,0,0,11,0,1
Italy,FC Bayern München,Borussia Dortmund,Borussia Mönchengladbach,9,60,14,3,1,100,3,12,2,4,1,4,3,2,3,5,3,7
Greece,FC Bayern München,Borussia Dortmund,FC Schalke,10,52,9,5,1,100,3,32,2,7,2,5,3,1,7,6,5,6
Netherlands,FC Bayern München,Borussia Dortmund,FC Schalke,9,67,18,4,1,100,7,52,3,12,2,4,7,2,8,6,3,9
Benin,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,3,32,2,0,0,100,0,2,0,0,1,0,2,0,1,2,2,3
Armenia,Borussia Dortmund,FC Bayern München,FC Schalke,8,100,6,3,1,72,1,9,1,3,1,3,3,2,2,4,1,4
Ethiopia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,9,39,2,1,1,100,4,4,1,1,0,2,4,0,2,3,1,1
Belgium,FC Bayern München,Borussia Dortmund,Borussia Mönchengladbach,9,64,16,2,1,100,9,15,3,5,1,3,4,1,4,5,2,8
Tunisia,FC Bayern München,Borussia Dortmund,FC Schalke,6,50,5,2,1,100,3,7,2,4,2,3,4,2,2,3,2,5
Hungary,FC Bayern München,Borussia Dortmund,Hertha Berlin,7,46,5,2,1,100,3,9,2,4,1,21,6,2,3,7,3,6
Turkey,FC Bayern München,Borussia Dortmund,RB Leipzig,6,31,7,1,1,100,2,8,1,2,1,3,9,1,2,4,1,4
Costa Rica,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,7,64,3,1,0,100,1,3,1,1,0,1,4,1,2,1,1,3
Brazil,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,12,75,6,2,2,100,3,8,3,1,2,3,7,2,4,4,2,7
Ukraine,FC Bayern München,Borussia Dortmund,FC Schalke,14,81,17,4,2,100,3,31,3,3,1,14,3,2,7,6,2,6
Uzbekistan,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,6,41,3,1,1,100,1,4,1,1,0,1,1,1,2,3,0,3
Kyrgyzstan,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,5,39,3,2,1,100,1,4,1,1,0,1,1,0,2,2,0,2
Myanmar,FC Bayern München,Borussia Dortmund,FC Schalke,14,63,10,6,4,100,8,18,6,6,4,7,9,4,10,9,5,9
Romania,FC Bayern München,Borussia Dortmund,FC Schalke,9,67,6,3,1,100,3,9,2,3,1,4,5,2,4,4,2,6
Georgia,FC Bayern München,Borussia Dortmund,FC Schalke,7,40,5,3,2,100,2,8,1,3,1,4,3,2,4,4,1,5
Finland,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,21,57,5,6,1,100,5,12,2,14,3,13,7,2,8,7,4,9
Belarus,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,13,49,6,3,1,100,5,9,2,2,1,4,3,1,5,4,1,5
Bosnia and Herzegovina,FC Bayern München,Borussia Dortmund,FC Schalke,5,42,4,4,1,100,2,12,1,7,1,4,3,1,6,6,4,7
Croatia,FC Bayern München,Borussia Dortmund,FC Schalke,6,53,6,7,1,100,4,18,1,9,2,4,5,2,6,10,11,6
Morocco,FC Bayern München,Borussia Dortmund,FC Schalke,6,54,5,2,1,100,3,10,2,2,2,2,4,1,3,3,2,4
Saint Helena Ascension and Tristan da Cunha,FC Bayern München,Borussia Dortmund,FC Schalke,10,60,14,9,3,100,8,21,5,18,6,8,7,5,9,6,12,7
France,FC Bayern München,Borussia Dortmund,FC Schalke,6,65,4,1,1,100,2,7,1,2,1,2,4,1,2,3,2,4
Ecuador,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,8,49,3,2,0,100,1,3,1,1,0,1,3,0,2,1,1,2
Ireland,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,8,64,10,4,2,100,7,10,3,5,2,6,11,2,4,12,2,7
Singapore,FC Bayern München,Borussia Dortmund,RB Leipzig,8,44,6,4,3,100,6,8,4,5,2,6,11,3,6,8,3,7
Laos,FC Bayern München,Borussia Dortmund,RB Leipzig,8,44,5,2,0,100,3,8,2,0,3,2,8,0,6,2,2,3
United Kingdom,FC Bayern München,Borussia Dortmund,RB Leipzig,10,65,11,3,2,100,9,12,3,7,3,8,14,2,5,11,4,8
Lebanon,FC Bayern München,Borussia Dortmund,FC Schalke,2,21,1,0,0,100,1,3,0,1,0,1,2,0,1,1,0,2
Serbia,FC Bayern München,Borussia Dortmund,FC Schalke,9,57,7,6,2,100,11,19,3,7,2,5,4,2,6,8,4,8
Syria,FC Bayern München,Borussia Dortmund,FC Schalke,2,21,2,0,0,100,0,3,0,0,0,1,0,0,1,1,0,1
Denmark,FC Bayern München,Borussia Dortmund,Hamburger SV,8,78,11,3,1,100,5,16,3,37,3,11,8,2,16,8,3,11
Moldova,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,7,53,5,2,1,100,1,6,2,2,0,2,4,1,2,3,1,5
Libya,FC Bayern München,Borussia Dortmund,FC Schalke,3,28,2,0,0,100,0,4,0,0,0,1,0,0,1,1,0,2
Cambodia,FC Bayern München,Borussia Dortmund,FC Schalke,8,81,7,5,3,100,3,11,4,6,2,7,8,3,3,4,3,7
Vietnam,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,11,52,5,3,3,100,4,8,4,3,2,4,6,3,4,5,4,6
Bulgaria,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,6,48,6,3,1,100,3,11,2,4,2,4,4,2,5,13,3,6
Poland,FC Bayern München,Borussia Dortmund,VfL Wolfsburg,2,51,2,1,0,100,1,5,1,2,0,2,3,2,2,2,1,5
Reunion,FC Bayern München,Borussia Dortmund,FC Schalke,5,54,2,0,0,100,2,5,0,1,2,1,3,2,1,2,1,3
Algeria,FC Bayern München,Borussia Dortmund,FC Schalke,3,46,3,0,0,100,0,15,2,1,0,1,1,0,2,1,1,2
Norway,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,7,63,5,2,1,100,3,10,2,10,3,13,10,2,6,13,2,8
Trinidad and Tobago,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,3,28,2,1,1,100,2,2,1,2,0,1,2,0,1,2,1,2
Hong Kong,FC Bayern München,Borussia Dortmund,RB Leipzig,10,56,4,3,1,100,4,9,2,4,2,4,12,2,5,6,3,7
Sudan,FC Bayern München,Borussia Dortmund,FC Schalke,2,24,2,0,0,100,0,3,0,0,0,0,0,0,0,1,0,0
Sweden,FC Bayern München,Borussia Dortmund,Hamburger SV,8,89,7,3,2,100,4,13,3,15,3,14,10,2,7,8,4,10
Jordan,FC Bayern München,Borussia Dortmund,FC Schalke,2,26,2,0,0,100,0,2,0,0,0,1,1,0,1,1,0,1
Israel,FC Bayern München,Borussia Dortmund,FC Schalke,4,38,4,1,0,100,1,6,1,1,1,3,2,1,2,3,4,3
Iraq,FC Bayern München,Borussia Dortmund,FC Schalke,3,29,2,0,0,100,0,3,0,1,0,1,1,0,1,1,0,1
South Korea,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,29,53,7,5,11,100,7,23,4,12,5,8,15,3,8,14,4,14
Slovakia,FC Bayern München,Borussia Dortmund,Hertha Berlin,5,43,5,1,1,100,2,7,1,2,3,7,3,1,2,5,2,3
Egypt,FC Bayern München,Borussia Dortmund,FC Schalke,2,26,2,0,0,100,1,3,0,1,0,1,1,0,1,2,1,1
Thailand,FC Bayern München,Borussia Dortmund,FC Schalke,8,34,8,2,2,100,6,14,3,4,4,4,12,2,6,5,3,4
United States,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,15,58,4,3,1,100,2,6,1,3,1,3,4,1,3,3,2,5
Iran,FC Bayern München,Borussia Dortmund,FC Schalke,3,12,1,0,0,100,0,4,0,1,0,1,1,0,4,2,0,2
Malaysia,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,6,53,3,1,1,100,3,6,2,2,1,3,7,1,3,7,2,4
Czech Republic,FC Bayern München,Borussia Dortmund,FC Schalke,5,46,4,2,1,100,2,10,1,4,1,6,9,1,4,5,4,4
Afghanistan,FC Bayern München,Borussia Dortmund,TSG 1899 Hoffenheim,3,33,4,2,2,100,2,3,0,3,0,0,4,0,2,4,0,3
Latvia,FC Bayern München,Borussia Dortmund,FC Schalke,10,64,6,5,3,100,9,20,0,11,2,9,5,2,13,6,3,6
Qatar,FC Bayern München,Borussia Dortmund,FC Schalke,3,28,3,1,0,100,2,4,1,2,1,2,3,1,2,3,1,3
Yemen,FC Bayern München,Borussia Dortmund,FC Schalke,2,31,2,1,0,100,0,4,0,0,0,1,0,0,1,1,0,1
Kuwait,FC Bayern München,Borussia Dortmund,FC Schalke,3,29,2,1,0,100,1,4,1,1,1,1,2,1,1,3,1,2
United Arab Emirates,FC Bayern München,Borussia Dortmund,FC Schalke,3,36,3,2,1,100,2,5,1,4,1,1,3,1,2,2,2,2
Dominican Republic,FC Bayern München,Borussia Dortmund,FC Schalke,9,46,5,4,1,100,2,9,1,6,2,5,6,2,4,2,3,3
New Zealand,FC Bayern München,Borussia Dortmund,FC Schalke,8,63,7,3,1,100,5,13,3,9,2,5,8,2,8,6,6,5
Lithuania,FC Bayern München,Borussia Dortmund,FC Schalke,6,47,5,2,1,100,3,7,2,3,2,3,4,1,4,3,3,7
Saudi Arabia,FC Bayern München,Borussia Dortmund,FC Schalke,2,27,2,0,0,100,1,3,0,1,0,1,1,0,1,2,0,2
Australia,FC Bayern München,Borussia Dortmund,FC Schalke,7,65,6,3,1,100,5,10,2,6,2,6,9,1,4,8,4,7
Bangladesh,FC Bayern München,Borussia Dortmund,FC Schalke,5,51,5,2,1,100,2,5,2,2,1,2,5,1,2,3,2,3
Canada,FC Bayern München,Borussia Dortmund,FC Schalke,5,44,4,2,1,100,2,6,1,2,1,2,5,1,3,3,2,5
Japan,Borussia Dortmund,FC Bayern München,FC Schalke,3,100,1,3,2,45,5,9,4,3,0,3,6,0,1,2,1,2
India,FC Bayern München,Borussia Dortmund,FC Schalke,3,49,3,1,1,100,1,5,1,1,0,1,4,0,1,2,2,3
Sri Lanka,FC Bayern München,Borussia Dortmund,FC Schalke,4,66,4,4,2,100,4,8,1,7,1,3,5,3,4,2,5,3
Taiwan,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,9,64,6,4,1,100,5,9,3,3,2,4,7,1,4,5,5,6
Pakistan,FC Bayern München,Borussia Dortmund,FC Schalke,2,44,3,0,0,100,1,3,1,1,0,1,3,0,1,2,1,2
Philippines,FC Bayern München,Borussia Dortmund,VfB Stuttgart,6,64,6,5,1,100,5,11,3,8,4,3,7,3,7,5,12,7
